design,metrics_path,lint_errors,lint_warnings,flow_errors,flow_warnings,drc_errors_route,drc_errors_magic,drc_errors_klayout,lvs_errors,setup_wns,setup_tns,setup_vio_count,hold_wns,hold_tns,hold_vio_count,setup_ws_worst,hold_ws_worst,clk_skew_setup_worst,clk_skew_hold_worst,p_total,p_internal,p_switching,p_leakage,core_area,die_area,inst_area_total,stdcell_area,utilization,inst_count_total,stdcell_count,timing_repair_buf_count,hold_buf_count,clk_buf_count,wirelength,vias,global_wirelength,global_vias,ir_drop_worst,ir_drop_avg,antenna_violations,unannotated_nets,score_norm
Design3_with_58_util_1_maxdelay,C:\uniccass-tool\uniccass-icdesign-tools\shared_xserver\BASIC\current_generator\digital\DigitalSine\runs\RUN_2025-12-15_17-28-23\final\metrics.json,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.1572994001797896,0.1311757822825942,0.1507353173833508,-0.15061397000332735,0.00015824948786757886,0.00013946476974524558,1.8726424968917854e-05,5.829271643165157e-08,3238.7,6064.44,3238.7,2850.42,0.880112,339,246,65,2,3,6101,1605,9128,1632,0.00058,0.000199,0,1,53.75
Design4_with_58_util_1_maxdelay,C:\uniccass-tool\uniccass-icdesign-tools\shared_xserver\BASIC\current_generator\digital\DigitalSine\runs\RUN_2025-12-15_17-47-30\final\metrics.json,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.2476264818841019,0.13332571535279725,0.15157880935016535,-0.15160143014493185,0.00015881242870818824,0.0001394696009811014,1.9282633729744703e-05,6.019708109761268e-08,3238.7,6064.44,3238.7,2803.25,0.865546,335,246,65,2,3,5932,1608,9103,1650,0.000771,0.000209,0,1,46.25
Design5_2026_updated_PDK,C:\uniccass-tool\uniccass-icdesign-tools\shared_xserver\BASIC\current_generator\digital\DigitalSine\runs\RUN_2026-02-05_17-22-20\final\metrics.json,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.2476264818841019,0.13332571535279725,0.15157880935016535,-0.15160143014493185,0.00015881242870818824,0.0001394696009811014,1.9282633729744703e-05,6.019708109761268e-08,3238.7,6064.44,3238.7,2803.25,0.865546,335,246,65,2,3,5932,1608,9103,1650,0.000771,0.000209,0,1,46.25
Design6_2026_updated_PDK_w6,C:\uniccass-tool\uniccass-icdesign-tools\shared_xserver\BASIC\current_generator\digital\DigitalSine\runs\RUN_2026-02-05_17-34-19\final\metrics.json,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.2476153796535416,0.13332571535279725,0.15157880935016535,-0.15160143014493185,0.00015881242870818824,0.0001394696009811014,1.9282633729744703e-05,6.019708109761268e-08,3238.7,6064.44,3238.7,2803.25,0.865546,335,246,65,2,3,5932,1608,9103,1650,0.000771,0.000201,0,1,48.25
