Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_15_108,VDD,Metal1,57.8400,71.8200,1.200000
FILLER_15_83,VDD,Metal1,45.8400,71.8200,1.200000
FILLER_15_58,VDD,Metal1,33.8400,71.8200,1.200000
FILLER_15_0,VDD,Metal1,6.0000,71.8200,1.200000
FILLER_14_128,VDD,Metal1,67.4400,71.8200,1.200000
FILLER_14_93,VDD,Metal1,50.8800,71.8200,1.200000
FILLER_14_87,VDD,Metal1,47.7600,71.8200,1.200000
FILLER_14_85,VDD,Metal1,47.0400,71.8200,1.200000
FILLER_14_78,VDD,Metal1,43.4400,71.8200,1.200000
FILLER_14_68,VDD,Metal1,38.8800,71.8200,1.200000
FILLER_14_41,VDD,Metal1,25.6800,71.8200,1.200000
FILLER_14_35,VDD,Metal1,23.0400,71.8200,1.200000
FILLER_14_24,VDD,Metal1,17.5200,71.8200,1.200000
FILLER_14_2,VDD,Metal1,6.9600,71.8200,1.200000
FILLER_14_0,VDD,Metal1,6.2400,71.8200,1.200000
FILLER_13_127,VDD,Metal1,67.2000,64.2600,1.200000
FILLER_13_111,VDD,Metal1,59.2800,64.2600,1.200000
FILLER_13_109,VDD,Metal1,58.5600,64.2600,1.200000
FILLER_13_63,VDD,Metal1,36.4800,64.2600,1.200000
FILLER_13_41,VDD,Metal1,25.6800,64.2600,1.200000
FILLER_13_26,VDD,Metal1,18.4800,64.2600,1.200000
FILLER_12_128,VDD,Metal1,67.4400,64.2600,1.200000
FILLER_12_126,VDD,Metal1,66.7200,64.2600,1.200000
FILLER_12_107,VDD,Metal1,57.3600,64.2600,1.200000
FILLER_12_105,VDD,Metal1,56.6400,64.2600,1.200000
FILLER_12_86,VDD,Metal1,47.5200,64.2600,1.200000
FILLER_12_73,VDD,Metal1,41.7710,63.6630,1.200000
FILLER_12_62,VDD,Metal1,35.7600,64.2600,1.200000
FILLER_12_46,VDD,Metal1,28.0800,64.2600,1.200000
FILLER_12_31,VDD,Metal1,20.8800,64.2600,1.200000
FILLER_12_29,VDD,Metal1,20.1600,64.2600,1.200000
FILLER_12_2,VDD,Metal1,6.9600,64.2600,1.200000
FILLER_12_0,VDD,Metal1,6.2400,64.2600,1.200000
FILLER_11_128,VDD,Metal1,67.4400,56.7000,1.200000
FILLER_11_110,VDD,Metal1,59.0400,56.7000,1.200000
FILLER_11_97,VDD,Metal1,52.5600,56.7000,1.200000
FILLER_11_95,VDD,Metal1,51.8400,56.7000,1.200000
FILLER_11_88,VDD,Metal1,49.6890,57.2980,1.200000
FILLER_11_83,VDD,Metal1,45.8400,56.7000,1.200000
FILLER_11_79,VDD,Metal1,44.6510,57.2960,1.200000
FILLER_11_72,VDD,Metal1,42.0090,57.2980,1.200000
FILLER_11_62,VDD,Metal1,36.4910,57.2960,1.200000
FILLER_11_55,VDD,Metal1,32.6400,56.7000,1.200000
FILLER_11_36,VDD,Metal1,23.2800,56.7000,1.200000
FILLER_11_30,VDD,Metal1,20.4000,56.7000,1.200000
FILLER_11_28,VDD,Metal1,19.6800,56.7000,1.200000
FILLER_11_18,VDD,Metal1,14.6400,56.7000,1.200000
FILLER_11_16,VDD,Metal1,13.9200,56.7000,1.200000
FILLER_10_128,VDD,Metal1,67.4400,56.7000,1.200000
FILLER_10_126,VDD,Metal1,66.7200,56.7000,1.200000
FILLER_10_82,VDD,Metal1,45.3600,56.7000,1.200000
FILLER_10_62,VDD,Metal1,35.7600,56.7000,1.200000
FILLER_10_60,VDD,Metal1,35.0400,56.7000,1.200000
FILLER_10_32,VDD,Metal1,21.3600,56.7000,1.200000
FILLER_10_30,VDD,Metal1,20.6400,56.7000,1.200000
FILLER_10_20,VDD,Metal1,15.6000,56.7000,1.200000
FILLER_10_18,VDD,Metal1,14.8800,56.7000,1.200000
FILLER_10_4,VDD,Metal1,7.9200,56.7000,1.200000
FILLER_9_128,VDD,Metal1,67.4400,49.1400,1.199622
FILLER_9_108,VDD,Metal1,58.0800,49.1400,1.199622
FILLER_9_63,VDD,Metal1,36.4800,49.1400,1.199622
FILLER_9_59,VDD,Metal1,35.0510,49.7360,1.199622
FILLER_9_49,VDD,Metal1,29.5200,49.1400,1.199622
FILLER_9_43,VDD,Metal1,26.8800,49.1400,1.199622
