net,length_um
net75,145.915µm
net64,138.235µm
net80,123.55µm
net76,114.95µm
net56,92.58µm
net63,92.265µm
net57,88.525µm
_111_,87.305µm
net74,86.07µm
net72,84.425µm
net61,82.715µm
_045_,79.45µm
net59,78.61µm
net78,78.575µm
net69,77.325µm
_124_,77.22µm
net79,72.33µm
clk,71.88µm
_107_,71.79µm
net77,71.245µm
DPATH.SUM.ha_0.S,68.7µm
net71,68.085µm
_022_,67.7µm
net68,66.3µm
net67,65.145µm
net58,64.04µm
net26,62.5µm
clknet_1_0__leaf_clk,60.15µm
net21,60.13µm
net65,58.285µm
_009_,56.995µm
net28,56.35µm
net60,56.14µm
net25,55.09µm
net29,53.46µm
net66,53.205µm
net20,50.29µm
net4,50.22µm
_118_,48.73µm
_102_,46.81µm
_110_,46.555µm
net27,46.09µm
_065_,43.495µm
_040_,42.345µm
_050_,41.46µm
clknet_1_1__leaf_clk,40.94µm
net11,40.08µm
_042_,39.15µm
_117_,37.51µm
_016_,37.485µm
net19,37.15µm
_101_,36.675µm
_122_,36.45µm
net15,35.47µm
clknet_0_clk,34.56µm
net14,34.425µm
_063_,34.13µm
_095_,33.85µm
net10,33.515µm
net22,33.01µm
net35,30.34µm
DPATH.SUM.fa_3.A,29.83µm
net70,29.625µm
net62,29.595µm
_041_,28.81µm
net24,28.21µm
_113_,25.575µm
_019_,25.49µm
sine_out[29],24.92µm
sine_out[30],24.92µm
sine_out[31],24.86µm
net73,24.54µm
_058_,24.505µm
_026_,23.76µm
_119_,23.43µm
sine_out[32],23.37µm
sine_out[6],22.7µm
sine_out[9],22.7µm
_100_,22.1µm
_051_,22.09µm
net9,22.08µm
_037_,21.93µm
sine_out[10],21.5µm
sine_out[5],21.5µm
net2,21.32µm
sine_out[8],20.97µm
net23,20.89µm
sine_out[0],20.6µm
sine_out[1],20.6µm
sine_out[7],20.6µm
net1,20µm
sine_out[3],19.64µm
_114_,19.26µm
net7,19.2µm
sine_out[28],19.16µm
net34,18.85µm
_109_,18.84µm
sine_out[2],18.68µm
sine_out[4],18.68µm
_033_,18.495µm
net17,18.43µm
net16,17.71µm
_098_,17.475µm
sine_out[11],17.24µm
sine_out[12],17.24µm
sine_out[13],17.24µm
sine_out[14],17.24µm
_115_,17.015µm
_014_,16.92µm
net6,16.905µm
sine_out[15],16.76µm
sine_out[16],16.76µm
sine_out[17],16.76µm
sine_out[18],16.76µm
sine_out[19],16.76µm
sine_out[20],16.76µm
sine_out[21],16.76µm
sine_out[22],16.76µm
sine_out[23],16.76µm
sine_out[24],16.76µm
sine_out[25],16.76µm
sine_out[26],16.76µm
sine_out[27],16.76µm
_106_,16.7µm
net8,16.69µm
net33,16.69µm
_071_,16.57µm
net40,16.355µm
_079_,16.33µm
_061_,16.195µm
net18,16.195µm
_077_,15.87µm
_057_,15.86µm
_076_,15.825µm
_078_,15.72µm
_044_,14.88µm
_034_,14.52µm
_031_,14.47µm
net30,14.17µm
_121_,14.15µm
_074_,13.87µm
net12,13.81µm
_116_,13.28µm
_029_,13.105µm
_023_,12.85µm
net31,12.835µm
_073_,12.79µm
net3,12.48µm
_020_,12.42µm
_070_,12.37µm
_011_,12.185µm
_027_,11.95µm
signB,11.75µm
_067_,11.41µm
_028_,11.4µm
net5,11.29µm
_052_,10.975µm
_030_,10.82µm
_108_,10.76µm
_068_,10.445µm
_059_,10.33µm
net37,10.28µm
_075_,10.15µm
_008_,10.02µm
net13,9.97µm
_021_,9.835µm
_099_,9.61µm
_060_,9.48µm
_088_,9.475µm
_047_,9.44µm
net44,9.13µm
DPATH.SUM.fa_1.S,9.12µm
_062_,9.07µm
_049_,9.06µm
_069_,9.01µm
_081_,9µm
DPATH.SUM.fa_1.A,8.71µm
_082_,8.67µm
_097_,8.56µm
_036_,8.52µm
DPATH.SUM.fa_3.S,8.23µm
DPATH.SUM.fa_4.A,8.17µm
DPATH.SUM.fa_5.A,8.11µm
_018_,8.1µm
_053_,8.1µm
_091_,8.09µm
DPATH.SUM.fa_2.A,8.04µm
rst,7.97µm
_089_,7.78µm
_112_,7.58µm
_093_,7.485µm
_046_,7.26µm
net32,7.26µm
_005_,7.2µm
_007_,7.2µm
_032_,7.15µm
_085_,7.15µm
_103_,7.1µm
sign,7.08µm
_025_,7.06µm
DPATH.SUM.fa_4.S,7.02µm
_043_,6.97µm
_066_,6.78µm
net39,6.61µm
net41,6.5µm
_120_,6.36µm
_035_,6.19µm
_055_,6.185µm
_056_,6.13µm
_087_,6.06µm
net46,6.02µm
_003_,5.82µm
_083_,5.77µm
_015_,5.71µm
net43,5.54µm
CTRL.P1,5.48µm
_002_,5.34µm
net45,5.06µm
_012_,4.86µm
net36,4.86µm
_017_,4.75µm
_001_,4.44µm
_039_,4.44µm
_080_,4.38µm
_096_,4.38µm
_084_,4.08µm
_000_,3.96µm
_064_,3.9µm
_123_,3.9µm
_006_,3.72µm
_105_,3.48µm
_010_,3.42µm
net42,3.42µm
DPATH.SUM.fa_5.S,3.14µm
_072_,3.14µm
_086_,3.13µm
_094_,3.13µm
CTRL.P0,3.06µm
CTRL.S0,3µm
_004_,3µm
_038_,3µm
DPATH.SUM.fa_6.S,2.94µm
_013_,2.94µm
_048_,2.76µm
_024_,2.66µm
net38,2.58µm
DPATH.SUM.fa_6.A,2.52µm
_092_,2.52µm
_104_,2.52µm
_090_,2.28µm
DPATH.SUM.Cout0,1.86µm
DPATH.SUM.fa_2.S,1.86µm
_054_,0.96µm
