# Logfile created on 2026-03-28 22:48:10 +0100 by logger.rb/v1.4.3
2026-03-28 22:48:10 +0100: Memory Usage (436704K) : metal4_text has 2 polygons
2026-03-28 22:48:10 +0100: Memory Usage (436832K) : metal4_opc has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (436832K) : metal4_noqrc has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (436960K) : metal4_res has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (436960K) : metal4_iprobe has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (436960K) : metal4_diffprb has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437088K) : heattrans_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437088K) : heatres_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437216K) : pempoly_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437216K) : fbe_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437344K) : empoly_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437344K) : ldmos_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437344K) : pbiwind_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437472K) : digisub_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437472K) : nodrc_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437600K) : text_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437600K) : via4_drw has 514 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437600K) : metal5_drw has 33 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437728K) : metal5_pin has 6 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437728K) : metal5_mask has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437856K) : metal5_filler has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437856K) : metal5_nofill has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437856K) : metal5_slit has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437984K) : metal5_text has 2 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437984K) : metal5_opc has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437984K) : metal5_noqrc has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (437984K) : metal5_res has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (438112K) : metal5_iprobe has 0 polygons
