Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_109,VDD,Metal1,58.3200,71.8200,1.200000
FILLER_14_83,VDD,Metal1,47.2890,71.2210,1.200000
FILLER_14_73,VDD,Metal1,41.0400,71.8200,1.200000
FILLER_14_66,VDD,Metal1,37.9200,71.8200,1.200000
FILLER_14_52,VDD,Metal1,31.2000,71.8200,1.200000
FILLER_14_42,VDD,Metal1,26.4000,71.8200,1.200000
FILLER_14_35,VDD,Metal1,24.2490,71.2210,1.200000
FILLER_14_28,VDD,Metal1,20.8890,71.2210,1.200000
FILLER_14_21,VDD,Metal1,17.5290,71.2210,1.200000
FILLER_14_14,VDD,Metal1,14.1690,71.2210,1.200000
FILLER_14_7,VDD,Metal1,10.8090,71.2210,1.200000
FILLER_14_0,VDD,Metal1,7.4490,71.2210,1.200000
FILLER_13_80,VDD,Metal1,44.4000,64.2600,1.199759
FILLER_13_78,VDD,Metal1,43.6800,64.2600,1.199759
FILLER_13_47,VDD,Metal1,28.5600,64.2600,1.199772
FILLER_13_28,VDD,Metal1,20.8890,64.8580,1.199781
FILLER_13_21,VDD,Metal1,17.5290,64.8580,1.199781
FILLER_13_14,VDD,Metal1,14.1690,64.8580,1.199781
FILLER_13_7,VDD,Metal1,10.8090,64.8580,1.199781
FILLER_13_0,VDD,Metal1,7.4490,64.8580,1.199781
FILLER_12_90,VDD,Metal1,49.2000,64.2600,1.199665
FILLER_12_79,VDD,Metal1,43.9200,64.2600,1.199759
FILLER_12_77,VDD,Metal1,43.2000,64.2600,1.199768
FILLER_12_64,VDD,Metal1,36.9600,64.2600,1.199772
FILLER_12_36,VDD,Metal1,23.2800,64.2600,1.199780
FILLER_12_4,VDD,Metal1,8.1600,64.2600,1.199781
FILLER_12_0,VDD,Metal1,6.7310,63.6630,1.199781
FILLER_11_97,VDD,Metal1,52.8000,56.7000,1.199763
FILLER_11_85,VDD,Metal1,47.0400,56.7000,1.199763
FILLER_11_67,VDD,Metal1,38.1600,56.7000,1.199763
FILLER_11_60,VDD,Metal1,35.0400,56.7000,1.199763
FILLER_11_28,VDD,Metal1,19.4400,56.7000,1.199771
FILLER_11_21,VDD,Metal1,17.5290,57.2980,1.199771
FILLER_11_14,VDD,Metal1,14.1690,57.2980,1.199771
FILLER_11_7,VDD,Metal1,10.8090,57.2980,1.199771
FILLER_11_0,VDD,Metal1,7.4490,57.2980,1.199771
FILLER_10_118,VDD,Metal1,62.6400,56.7000,1.199763
FILLER_10_80,VDD,Metal1,44.4000,56.7000,1.199763
FILLER_10_70,VDD,Metal1,39.8400,56.7000,1.199763
FILLER_10_64,VDD,Metal1,36.7200,56.7000,1.199763
FILLER_10_58,VDD,Metal1,33.8400,56.7000,1.199763
FILLER_10_21,VDD,Metal1,17.5290,56.1010,1.199771
FILLER_10_14,VDD,Metal1,14.1690,56.1010,1.199771
FILLER_10_7,VDD,Metal1,10.0910,56.1030,1.199771
FILLER_10_0,VDD,Metal1,7.4490,56.1010,1.199771
FILLER_9_114,VDD,Metal1,60.7200,49.1400,1.199792
FILLER_9_84,VDD,Metal1,46.3200,49.1400,1.199792
FILLER_9_82,VDD,Metal1,45.6000,49.1400,1.199792
FILLER_9_59,VDD,Metal1,34.5600,49.1400,1.199792
FILLER_9_0,VDD,Metal1,6.7310,49.7360,1.199792
FILLER_8_118,VDD,Metal1,62.6400,49.1400,1.199792
FILLER_8_116,VDD,Metal1,61.9200,49.1400,1.199792
FILLER_8_89,VDD,Metal1,48.9600,49.1400,1.199792
FILLER_8_67,VDD,Metal1,38.4000,49.1400,1.199792
FILLER_8_61,VDD,Metal1,35.2800,49.1400,1.199792
FILLER_8_55,VDD,Metal1,32.4000,49.1400,1.199792
FILLER_8_49,VDD,Metal1,29.5200,49.1400,1.199792
FILLER_8_42,VDD,Metal1,26.1600,49.1400,1.199792
FILLER_8_40,VDD,Metal1,25.4400,49.1400,1.199792
FILLER_7_105,VDD,Metal1,56.4000,41.5800,1.199724
FILLER_7_103,VDD,Metal1,55.6800,41.5800,1.199724
FILLER_7_82,VDD,Metal1,45.6000,41.5800,1.199724
FILLER_7_43,VDD,Metal1,26.8800,41.5800,1.199772
FILLER_7_0,VDD,Metal1,6.0000,41.5800,1.199784
FILLER_6_118,VDD,Metal1,62.6400,41.5800,1.199724
FILLER_6_116,VDD,Metal1,61.9200,41.5800,1.199724
FILLER_6_72,VDD,Metal1,40.8000,41.5800,1.199724
FILLER_6_52,VDD,Metal1,31.2000,41.5800,1.199772
FILLER_6_30,VDD,Metal1,20.4000,41.5800,1.199784
FILLER_6_7,VDD,Metal1,9.6000,41.5800,1.199784
FILLER_6_0,VDD,Metal1,7.4490,40.9810,1.199784
FILLER_5_99,VDD,Metal1,53.7600,34.0200,1.199882
FILLER_5_90,VDD,Metal1,49.4400,34.0200,1.199882
FILLER_5_78,VDD,Metal1,43.4400,34.0200,1.199882
FILLER_5_53,VDD,Metal1,31.4400,34.0200,1.199882
FILLER_5_46,VDD,Metal1,28.3200,34.0200,1.199882
FILLER_5_2,VDD,Metal1,6.9600,34.0200,1.199882
FILLER_5_0,VDD,Metal1,6.2400,34.0200,1.199882
