net,length_um
net38,109.605µm
net42,107.94µm
net29,105.635µm
net32,102.135µm
net22,101.105µm
net31,100.855µm
net33,91.81µm
net27,89.39µm
net41,86.455µm
DPATH.SUM.fa_4.A,86.025µm
net26,85.965µm
DPATH.SUM.ha_0.S,81.875µm
DPATH.SUM.fa_1.A,75.89µm
net24,75.215µm
net23,74.555µm
net34,68.94µm
clknet_1_0__leaf_clk,67.845µm
_100_,67.725µm
net36,63.805µm
net30,63.045µm
net25,59.065µm
DPATH.SUM.fa_6.A,58.695µm
_115_,57.12µm
_117_,55.65µm
net39,55.565µm
net1,54.55µm
net28,53.545µm
net37,51.87µm
_112_,48.82µm
clk,48.55µm
net40,48.405µm
_102_,48.185µm
_103_,45.77µm
clknet_1_1__leaf_clk,43.885µm
_114_,43.58µm
_029_,43.44µm
_108_,42.38µm
net35,41.74µm
_105_,40.075µm
_026_,39.345µm
_107_,38.82µm
_120_,38.67µm
_046_,38.625µm
_109_,37.61µm
_125_,36.555µm
_019_,35.78µm
_089_,35.08µm
_057_,34.105µm
_036_,31.89µm
_119_,31.7µm
_121_,31.4µm
_123_,30.775µm
sine_out[9],29.645µm
signB,29.585µm
clknet_0_clk,29.44µm
_034_,29.395µm
net14,28.45µm
_068_,27.6µm
_042_,27.43µm
_033_,26.9µm
DPATH.SUM.fa_2.A,26.075µm
_065_,25.93µm
net4,25.62µm
rst,25.56µm
DPATH.SUM.fa_3.A,25.26µm
sine_out[11],23.525µm
sign,23.465µm
sine_out[2],23.225µm
_135_,23.18µm
_128_,23.11µm
_124_,22.69µm
_027_,22.43µm
_021_,21.255µm
sine_out[1],20.945µm
net13,19.75µm
_011_,19.09µm
_018_,19.08µm
_044_,18.97µm
_099_,18.86µm
_113_,18.85µm
_025_,18.405µm
_023_,18.3µm
_059_,18.2µm
_074_,17.83µm
net21,17.65µm
_122_,17.54µm
DPATH.SUM.fa_2.S,17.53µm
sine_out[7],17.405µm
sine_out[0],17.345µm
net43,17.22µm
_024_,16.955µm
_101_,16.92µm
net10,16.74µm
_098_,16.68µm
_055_,16.58µm
_041_,15.045µm
_097_,14.65µm
_073_,14.29µm
net3,14.275µm
net19,14.23µm
sine_out[4],14.225µm
_137_,14.17µm
_035_,14.05µm
_069_,13.69µm
_077_,13.68µm
_111_,13.46µm
CTRL.S0,13.21µm
_118_,13.21µm
_129_,13.21µm
_072_,12.96µm
_095_,12.9µm
_010_,12.37µm
net7,12.32µm
_056_,12.215µm
_134_,12.075µm
_132_,11.78µm
CTRL.P1,11.7µm
_047_,11.35µm
_030_,11.3µm
_045_,11.29µm
_000_,10.99µm
_136_,10.87µm
_015_,10.45µm
_043_,10.27µm
_070_,10.09µm
_126_,9.72µm
net6,9.66µm
net12,9.66µm
net2,9.6µm
_067_,9.49µm
_013_,9.18µm
_084_,9.02µm
_088_,9µm
net11,8.995µm
_022_,8.84µm
_082_,8.83µm
_008_,8.59µm
sine_out[12],8.525µm
sine_out[13],8.295µm
_071_,8.265µm
DPATH.SUM.fa_1.S,8.16µm
_002_,8.16µm
net20,8.16µm
_076_,8.11µm
sine_out[15],8.105µm
sine_out[8],8.105µm
_131_,8.05µm
_087_,8.04µm
_133_,7.74µm
_110_,7.69µm
sine_out[6],7.685µm
net5,7.63µm
_086_,7.56µm
_037_,7.5µm
_009_,7.45µm
_080_,7.345µm
sine_out[3],7.265µm
_012_,7.155µm
_038_,6.91µm
sine_out[17],6.845µm
sine_out[10],6.795µm
sine_out[14],6.795µm
sine_out[16],6.795µm
_020_,6.67µm
_014_,6.66µm
_075_,6.405µm
sine_out[5],6.375µm
net18,6.25µm
_062_,6.18µm
_054_,6.02µm
_052_,6.01µm
_104_,5.7µm
DPATH.SUM.fa_3.S,5.58µm
net16,5.58µm
_061_,5.52µm
_039_,5.42µm
_050_,5.385µm
DPATH.SUM.fa_5.S,5.35µm
DPATH.SUM.fa_5.A,5.34µm
_004_,5.34µm
_006_,5.29µm
DPATH.SUM.fa_6.S,5.22µm
_096_,5.06µm
net15,4.86µm
_049_,4.82µm
_031_,4.8µm
_040_,4.595µm
net9,4.57µm
_127_,4.2µm
_060_,4.125µm
_007_,4.1µm
_053_,4.09µm
_064_,4.09µm
_003_,3.96µm
_048_,3.96µm
CTRL.P0,3.9µm
_063_,3.9µm
net17,3.825µm
_078_,3.715µm
_032_,3.61µm
_028_,3.6µm
_106_,3.42µm
_001_,3.3µm
_051_,3µm
_094_,3µm
_005_,2.94µm
_085_,2.94µm
_016_,2.76µm
_066_,2.76µm
_090_,2.76µm
_091_,2.76µm
_092_,2.755µm
_130_,2.755µm
_058_,2.66µm
_083_,2.58µm
_116_,2.34µm
net8,2.34µm
_081_,2.28µm
_093_,2.28µm
_079_,1.965µm
_017_,1.8µm
DPATH.SUM.Cout0,1.44µm
DPATH.SUM.fa_4.S,1.44µm
