net,length_um
net59,122.34µm
net61,108.595µm
net66,96.82µm
net77,96.195µm
_111_,95.5µm
net37,93.185µm
_022_,88.985µm
net58,88.885µm
net53,85.55µm
net70,83.905µm
net65,81.535µm
net67,80.205µm
net60,78.815µm
_114_,75.695µm
net72,75.18µm
net73,74.095µm
net56,73.24µm
_101_,70.33µm
net78,69.08µm
net71,68.215µm
clk,67.635µm
_009_,66.77µm
net64,65.745µm
net54,62.2µm
net69,62.035µm
net62,61.065µm
net74,60.65µm
net63,60.18µm
net35,56.825µm
net68,56.725µm
_109_,56.45µm
net55,55.185µm
clknet_1_0__leaf_clk,54.57µm
_117_,53.74µm
net76,53.095µm
_099_,52.415µm
_065_,49.88µm
net10,49.65µm
DPATH.SUM.ha_0.S,48.195µm
sine_out[31],46.065µm
sine_out[32],45.975µm
net3,45.01µm
_045_,43.605µm
sine_out[30],41.045µm
net36,39.42µm
sine_out[29],38.065µm
clknet_1_1__leaf_clk,37.935µm
sine_out[28],37.445µm
_051_,36.96µm
_118_,36.48µm
net26,35.59µm
sine_out[27],35.415µm
_121_,35.41µm
_058_,34.81µm
clknet_0_clk,34.04µm
net4,34.01µm
net9,32.92µm
sine_out[0],32.165µm
net1,32.085µm
net19,31.815µm
net7,31.635µm
net75,30.35µm
_112_,29.84µm
net57,29.64µm
_102_,29.52µm
_076_,29.16µm
net2,29.115µm
_075_,28.86µm
net30,28.8µm
_122_,28.59µm
sine_out[26],28.325µm
sine_out[1],27.845µm
_037_,27.735µm
_035_,27.54µm
_014_,27.07µm
_097_,26.41µm
net21,25.79µm
_055_,25.2µm
sine_out[25],25.085µm
sine_out[24],24.975µm
_036_,24.92µm
net14,24.85µm
sine_out[6],24.605µm
sine_out[23],24.125µm
sine_out[3],24.125µm
sine_out[8],24.125µm
sine_out[9],24.125µm
sine_out[22],23.645µm
sine_out[10],23.165µm
sine_out[11],23.165µm
_019_,22.96µm
_119_,22.82µm
sine_out[21],22.685µm
sine_out[7],22.685µm
net20,22.62µm
net15,22.44µm
sine_out[12],22.205µm
sine_out[20],22.205µm
net6,21.885µm
sine_out[13],21.725µm
sine_out[4],21.725µm
_029_,21.61µm
net22,21.54µm
DPATH.SUM.fa_5.A,21.48µm
_026_,21.25µm
sine_out[14],21.245µm
sine_out[5],21.245µm
_027_,21.06µm
_116_,20.89µm
DPATH.SUM.fa_1.S,20.77µm
sine_out[15],20.765µm
_020_,20.46µm
sine_out[16],20.285µm
sine_out[17],20.285µm
_042_,19.94µm
sine_out[18],19.805µm
sine_out[19],19.805µm
sine_out[2],19.805µm
_059_,19.8µm
net13,19.365µm
net27,19.09µm
_031_,19.065µm
_025_,18.37µm
_005_,17.53µm
_068_,17.515µm
_016_,17.49µm
_107_,17.4µm
_098_,17.3µm
_041_,17.17µm
_049_,16.86µm
net34,16.8µm
net24,16.63µm
_003_,16.58µm
_030_,16.26µm
net32,16.15µm
_106_,15.98µm
_028_,15.96µm
_057_,15.765µm
_046_,15.67µm
_033_,15.535µm
DPATH.SUM.fa_6.A,15.3µm
_034_,15.25µm
_079_,15.045µm
_015_,14.71µm
_108_,14.695µm
_024_,14.11µm
_077_,14.105µm
_052_,13.93µm
_043_,13.92µm
_008_,13.44µm
DPATH.SUM.fa_5.S,13.13µm
_040_,12.9µm
_086_,12.68µm
net17,12.48µm
_100_,12.43µm
_000_,12µm
_113_,11.98µm
net16,11.89µm
_047_,11.865µm
_018_,11.46µm
_110_,11.42µm
_067_,11.41µm
_053_,11.24µm
_124_,11.19µm
_056_,11.18µm
net25,11.085µm
_078_,11.035µm
_021_,10.7µm
_061_,10.68µm
net29,10.68µm
_050_,10.57µm
_012_,10.33µm
net12,10.09µm
_066_,10.03µm
_091_,9.86µm
_038_,9.85µm
net28,9.6µm
_069_,9.18µm
_089_,9.12µm
_085_,8.89µm
_071_,8.76µm
net39,8.7µm
_104_,8.64µm
sign,8.52µm
DPATH.SUM.fa_2.S,8.35µm
_105_,8.17µm
rst,7.685µm
_010_,7.555µm
_096_,7.555µm
_011_,7.5µm
_084_,7.44µm
signB,7.21µm
DPATH.SUM.fa_4.A,7.15µm
DPATH.SUM.fa_6.S,7.14µm
_081_,7.09µm
_048_,6.96µm
_123_,6.84µm
DPATH.SUM.fa_2.A,6.78µm
_070_,6.78µm
net5,6.6µm
CTRL.P1,6.55µm
_115_,6.445µm
_004_,6.3µm
_063_,6.24µm
_092_,6.13µm
_002_,6.115µm
_060_,5.77µm
net8,5.77µm
net31,5.77µm
net33,5.76µm
_013_,5.65µm
_093_,5.635µm
DPATH.SUM.fa_4.S,5.58µm
_023_,5.53µm
_087_,5.34µm
_120_,5.34µm
_017_,5.29µm
_088_,5.13µm
_062_,4.74µm
net18,4.44µm
DPATH.SUM.fa_3.S,4.39µm
DPATH.SUM.fa_1.A,4.38µm
_006_,4.1µm
_032_,4.08µm
_094_,3.9µm
_083_,3.69µm
_080_,3.61µm
CTRL.S0,3.48µm
_007_,3.48µm
DPATH.SUM.Cout0,3.42µm
_001_,3.42µm
_103_,3.24µm
net38,3.14µm
_082_,3.03µm
_044_,3µm
_054_,3µm
_095_,3µm
net11,3µm
_039_,2.94µm
_074_,2.94µm
_072_,2.52µm
_073_,2.28µm
_090_,2.28µm
CTRL.P0,2.18µm
DPATH.SUM.fa_3.A,1.86µm
_064_,1.38µm
net23,0.96µm
