Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_164,VDD,Metal1,84.9600,94.5000,1.199997
FILLER_20_56,VDD,Metal1,33.1200,94.5000,1.199998
FILLER_20_51,VDD,Metal1,30.4800,94.5000,1.199998
FILLER_20_0,VDD,Metal1,7.4490,93.9010,1.199998
FILLER_19_160,VDD,Metal1,83.0400,86.9400,1.199253
FILLER_19_156,VDD,Metal1,81.6110,87.5360,1.199253
FILLER_19_120,VDD,Metal1,63.8400,86.9400,1.199258
FILLER_19_113,VDD,Metal1,61.6890,87.5380,1.199258
FILLER_19_96,VDD,Metal1,52.8110,87.5360,1.199304
FILLER_19_65,VDD,Metal1,37.9310,87.5360,1.199435
FILLER_19_51,VDD,Metal1,30.7200,86.9400,1.199607
FILLER_19_33,VDD,Metal1,22.5710,87.5360,1.199687
FILLER_19_26,VDD,Metal1,18.7200,86.9400,1.199690
FILLER_19_7,VDD,Metal1,9.3600,86.9400,1.199690
FILLER_19_0,VDD,Metal1,7.4490,87.5380,1.199690
FILLER_18_165,VDD,Metal1,85.2000,86.9400,1.199253
FILLER_18_136,VDD,Metal1,71.5200,86.9400,1.199253
FILLER_18_104,VDD,Metal1,57.3690,86.3410,1.199299
FILLER_18_97,VDD,Metal1,52.8000,86.9400,1.199304
FILLER_18_73,VDD,Metal1,41.2800,86.9400,1.199435
FILLER_18_66,VDD,Metal1,39.1290,86.3410,1.199435
FILLER_18_61,VDD,Metal1,35.2800,86.9400,1.199602
FILLER_18_59,VDD,Metal1,34.5600,86.9400,1.199602
FILLER_18_45,VDD,Metal1,27.6000,86.9400,1.199608
FILLER_18_41,VDD,Metal1,26.4110,86.3430,1.199620
FILLER_18_30,VDD,Metal1,21.8490,86.3410,1.199687
FILLER_18_7,VDD,Metal1,9.6000,86.9400,1.199690
FILLER_18_0,VDD,Metal1,7.4490,86.3410,1.199690
FILLER_17_162,VDD,Metal1,84.4910,79.9760,1.200000
FILLER_17_148,VDD,Metal1,77.2800,79.3800,1.200000
FILLER_17_124,VDD,Metal1,65.7600,79.3800,1.200000
FILLER_17_115,VDD,Metal1,61.2000,79.3800,1.200000
FILLER_17_113,VDD,Metal1,60.4800,79.3800,1.200000
FILLER_17_79,VDD,Metal1,45.3690,79.9780,1.200000
FILLER_17_72,VDD,Metal1,42.0090,79.9780,1.200000
FILLER_17_63,VDD,Metal1,36.9710,79.9760,1.200000
FILLER_17_56,VDD,Metal1,34.3290,79.9780,1.200000
FILLER_17_49,VDD,Metal1,30.9690,79.9780,1.200000
FILLER_17_42,VDD,Metal1,27.6090,79.9780,1.200000
FILLER_17_35,VDD,Metal1,24.2490,79.9780,1.200000
FILLER_17_26,VDD,Metal1,18.4800,79.3800,1.200000
FILLER_17_24,VDD,Metal1,17.7600,79.3800,1.200000
FILLER_17_7,VDD,Metal1,9.3600,79.3800,1.200000
FILLER_17_0,VDD,Metal1,7.4490,79.9780,1.200000
FILLER_16_165,VDD,Metal1,85.2000,79.3800,1.200000
FILLER_16_163,VDD,Metal1,84.4800,79.3800,1.200000
FILLER_16_156,VDD,Metal1,82.3290,78.7810,1.200000
FILLER_16_149,VDD,Metal1,78.9690,78.7810,1.200000
FILLER_16_142,VDD,Metal1,75.6090,78.7810,1.200000
