net,length_um
net63,104.8µm
net66,99.095µm
net55,97.455µm
net72,96.605µm
net76,92.82µm
net69,92.015µm
net67,85.105µm
net57,81.835µm
net56,78.395µm
net64,77.83µm
net59,76.3µm
net61,74.645µm
_009_,74.23µm
net68,72.76µm
net52,69.545µm
net53,68.31µm
_109_,65.385µm
_101_,64.37µm
net37,64.21µm
clk,64.035µm
_022_,62.27µm
_106_,60.85µm
net70,60.81µm
_111_,60.505µm
_114_,58.155µm
net75,56.2µm
_105_,55.86µm
_117_,55.445µm
DPATH.SUM.ha_0.S,54.83µm
net60,54.535µm
net71,52.69µm
net22,51.91µm
_102_,50.965µm
net10,50.6µm
net9,49.94µm
net73,49.735µm
_014_,46.44µm
net54,45.98µm
net62,45.585µm
sine_out[0],45.015µm
net35,44.755µm
net3,44.31µm
net33,42.79µm
sine_out[32],42.615µm
sine_out[1],41.895µm
_016_,41.755µm
sine_out[30],41.545µm
_096_,41.22µm
_068_,39.98µm
_124_,39.62µm
sine_out[31],39.145µm
sine_out[2],39.135µm
net74,38.975µm
_045_,38.61µm
_110_,38.56µm
clknet_1_0__leaf_clk,38.085µm
_122_,37.51µm
_100_,36.81µm
_019_,36.565µm
net58,35.58µm
_041_,35.19µm
net1,34.57µm
sine_out[29],34.335µm
net31,34.315µm
_118_,33.48µm
net13,32.72µm
sine_out[28],32.535µm
_060_,32.21µm
sine_out[27],32.055µm
clknet_1_1__leaf_clk,31.965µm
_099_,31.255µm
clknet_0_clk,30.98µm
net14,29.77µm
sine_out[3],29.655µm
sine_out[5],29.655µm
net26,28.69µm
DPATH.SUM.fa_5.A,28.68µm
_076_,28.22µm
sine_out[26],27.855µm
sine_out[4],27.735µm
_065_,27.14µm
_088_,27.115µm
_037_,26.7µm
sine_out[25],26.415µm
net21,25.86µm
sine_out[6],25.435µm
_112_,25.2µm
_107_,25.085µm
net77,24.345µm
_051_,24.115µm
_064_,24.06µm
sine_out[7],24.015µm
_094_,23.71µm
_058_,23.335µm
_049_,23.245µm
_034_,23.1µm
sine_out[10],22.575µm
_119_,22.06µm
_097_,21.81µm
sine_out[24],21.615µm
_103_,21.54µm
_061_,21.25µm
sine_out[23],21.135µm
sine_out[11],20.655µm
_077_,20.61µm
_033_,20.4µm
sine_out[22],20.175µm
_115_,20.1µm
sine_out[21],20.065µm
_086_,19.82µm
net2,19.82µm
sine_out[8],19.705µm
sine_out[12],19.695µm
sine_out[13],19.695µm
_038_,19.69µm
net7,19.69µm
sine_out[19],19.685µm
_075_,19.58µm
_121_,19.58µm
sine_out[20],19.215µm
sine_out[9],19.215µm
_042_,18.895µm
_050_,18.845µm
sine_out[14],18.745µm
net24,18.61µm
net36,18.36µm
sine_out[15],18.255µm
sine_out[16],18.255µm
sine_out[18],18.255µm
_030_,18.19µm
_085_,17.79µm
sine_out[17],17.775µm
_053_,17.59µm
_113_,17.36µm
net65,17.18µm
CTRL.P1,16.56µm
_078_,16.15µm
_012_,16.09µm
_116_,15.86µm
_040_,15.72µm
_108_,15.68µm
net30,15.66µm
net19,15.36µm
_044_,15.25µm
signB,14.64µm
net15,14.52µm
_043_,14.28µm
net32,14.275µm
net34,14.23µm
_005_,13.69µm
net6,13.56µm
net28,13.45µm
_008_,13.38µm
_029_,13.105µm
_070_,12.96µm
_066_,12.9µm
_027_,12.85µm
_087_,12.85µm
_036_,12.72µm
_004_,12.61µm
net17,12.19µm
_098_,12.03µm
DPATH.SUM.fa_3.A,11.735µm
net25,11.46µm
net16,11.395µm
_010_,11.05µm
net11,11.04µm
_057_,10.92µm
DPATH.SUM.Cout0,10.835µm
_104_,10.56µm
_021_,10.545µm
_055_,10.39µm
_035_,10.03µm
net12,9.84µm
_003_,9.66µm
_072_,9.525µm
_092_,9.475µm
_062_,9.38µm
_028_,9.36µm
sign,9.36µm
_052_,9.26µm
DPATH.SUM.fa_3.S,9.19µm
_017_,9.12µm
net4,9.12µm
_095_,9.07µm
_073_,8.915µm
_120_,8.9µm
_081_,8.53µm
_059_,8.52µm
_091_,8.52µm
_020_,8.265µm
_001_,8.17µm
_026_,7.97µm
_032_,7.86µm
_047_,7.825µm
_082_,7.8µm
net27,7.74µm
DPATH.SUM.fa_6.S,7.68µm
net20,7.35µm
rst,7.215µm
_013_,7.15µm
net18,7.08µm
_025_,7.075µm
_031_,6.96µm
CTRL.S0,6.9µm
DPATH.SUM.fa_2.S,6.79µm
_002_,6.78µm
_000_,6.72µm
_006_,6.67µm
CTRL.P0,6.5µm
_011_,6.49µm
net8,6.36µm
_007_,5.82µm
_074_,5.71µm
_018_,5.62µm
_079_,5.54µm
DPATH.SUM.fa_5.S,5.1µm
_015_,5.06µm
_024_,5.06µm
net5,5.05µm
_023_,4.92µm
net23,4.68µm
DPATH.SUM.fa_4.S,4.5µm
_048_,4.44µm
_071_,4.44µm
net29,4.33µm
_054_,4.1µm
_067_,3.9µm
_090_,3.9µm
_069_,3.69µm
_063_,3.61µm
_083_,3.48µm
DPATH.SUM.fa_6.A,3.42µm
_039_,3.42µm
_084_,3.24µm
net38,3.24µm
_056_,3.07µm
net39,3µm
DPATH.SUM.fa_2.A,2.52µm
_046_,2.28µm
_093_,2.17µm
DPATH.SUM.fa_1.A,1.86µm
_080_,1.86µm
_089_,1.8µm
_123_,1.8µm
DPATH.SUM.fa_1.S,1.38µm
DPATH.SUM.fa_4.A,1.38µm
