net,length_um
net59,111.285µm
DPATH.SUM.ha_0.S,98.31µm
net75,93.415µm
net78,91.645µm
net61,91.2µm
net65,83.635µm
net69,81.785µm
_111_,81.62µm
net55,81.14µm
_022_,76.63µm
net73,74.215µm
_107_,73.05µm
net28,72.37µm
net68,71.58µm
net77,70.635µm
net54,69.72µm
net57,68.715µm
net62,67.46µm
sine_out[32],65.84µm
net60,65.5µm
net76,65.23µm
sine_out[31],63.92µm
net58,62.32µm
clk,62µm
_009_,61.88µm
net29,60.08µm
net26,59.905µm
net63,59.85µm
net72,58.495µm
_118_,56.52µm
net56,56.18µm
sine_out[0],55.88µm
net3,55.21µm
net1,54.91µm
sine_out[1],53.91µm
sine_out[30],52.66µm
_102_,52.54µm
net35,51.78µm
sine_out[29],51.425µm
sine_out[28],51.195µm
sine_out[27],51.15µm
net27,51.01µm
net70,48.81µm
_117_,48.605µm
clknet_1_0__leaf_clk,47.84µm
net67,45.95µm
net71,45.77µm
_029_,45.67µm
sine_out[26],45.03µm
net64,44.785µm
sine_out[24],43.11µm
_124_,41.16µm
sine_out[2],41.02µm
sine_out[25],40.4µm
net2,39.485µm
sine_out[5],39.09µm
_099_,39.04µm
net15,38.48µm
net66,38.12µm
sine_out[4],37.89µm
net21,37.845µm
sine_out[7],37.76µm
_122_,37.695µm
net30,37.47µm
clknet_1_1__leaf_clk,37.34µm
_058_,36.8µm
sine_out[3],36.56µm
_014_,36.39µm
_041_,34.82µm
_026_,33.48µm
DPATH.SUM.fa_5.A,32.655µm
_065_,32.325µm
_037_,31.995µm
_045_,31.845µm
clknet_0_clk,31.02µm
_101_,30.77µm
sine_out[6],29.36µm
_096_,29.22µm
net23,28.99µm
signB,28.99µm
net4,28.28µm
_018_,27.91µm
_024_,27.3µm
net74,26.37µm
DPATH.SUM.fa_6.A,26µm
_110_,25.675µm
_031_,25.57µm
sine_out[23],25.52µm
sine_out[8],25.16µm
net31,24.24µm
net22,22.92µm
sine_out[21],22.88µm
sine_out[22],22.88µm
_030_,22.75µm
_051_,22.54µm
_077_,22.315µm
_050_,22.26µm
_019_,22.2µm
_034_,22.105µm
net13,21.72µm
_042_,21.5µm
_108_,21.265µm
_025_,20.82µm
net19,20.325µm
_119_,20.075µm
net8,19.93µm
sine_out[10],19.52µm
sine_out[11],19.52µm
sine_out[12],19.52µm
sine_out[9],19.52µm
_064_,19.075µm
_028_,18.775µm
_106_,18.27µm
net7,17.82µm
sine_out[13],17.6µm
sine_out[14],17.6µm
sine_out[15],17.6µm
sine_out[16],17.6µm
sine_out[17],17.6µm
sine_out[18],17.6µm
sine_out[19],17.6µm
sine_out[20],17.6µm
_089_,17.28µm
net9,17.085µm
_035_,16.98µm
DPATH.SUM.fa_2.A,16.455µm
_105_,16.38µm
net25,16.26µm
_076_,15.98µm
_047_,15.965µm
_109_,15.965µm
_040_,15.91µm
_094_,14.84µm
net14,14.76µm
net10,14.65µm
_044_,14.23µm
_016_,14.135µm
net34,14.04µm
_008_,13.92µm
_020_,13.87µm
_063_,13.87µm
_057_,13.69µm
_098_,13.69µm
_115_,13.365µm
DPATH.SUM.fa_4.A,13.33µm
_004_,13.33µm
_097_,13.32µm
_116_,13.285µm
_103_,12.915µm
_066_,12.9µm
net32,12.84µm
_078_,12.79µm
_100_,12.775µm
_056_,12.67µm
DPATH.SUM.fa_1.S,12.49µm
net17,12.49µm
net42,12.49µm
DPATH.SUM.fa_3.S,12.37µm
_011_,12.25µm
_114_,12.24µm
net18,12.01µm
net37,12.01µm
net39,11.9µm
_082_,11.77µm
_087_,11.76µm
CTRL.S0,11.47µm
_113_,11.345µm
net12,10.99µm
_071_,10.56µm
_005_,10.51µm
_043_,10.45µm
_052_,10.33µm
net36,10.03µm
_027_,9.97µm
_049_,9.42µm
_120_,9.36µm
_112_,9.24µm
_036_,9µm
_085_,8.35µm
_095_,8.35µm
_006_,8.22µm
_007_,8.17µm
_033_,8.095µm
rst,8.06µm
net6,8.035µm
_080_,7.96µm
_070_,7.74µm
net43,7.74µm
_002_,7.69µm
sign,7.57µm
net24,7.46µm
_021_,7.45µm
_083_,7.45µm
DPATH.SUM.fa_3.A,7.26µm
_067_,7.2µm
net46,7.2µm
_015_,7.195µm
CTRL.P0,6.98µm
DPATH.SUM.fa_5.S,6.91µm
_068_,6.85µm
DPATH.SUM.fa_1.A,6.84µm
_032_,6.78µm
DPATH.SUM.fa_2.S,6.54µm
_093_,6.54µm
_121_,6.49µm
_088_,6.36µm
net20,6.36µm
_010_,6.25µm
_059_,6.08µm
_075_,6.06µm
_123_,6.06µm
_000_,5.82µm
_084_,5.79µm
_092_,5.77µm
_061_,5.65µm
_054_,5.64µm
_072_,5.64µm
_074_,5.58µm
_073_,5.28µm
_081_,5.28µm
net45,5.16µm
_039_,5.155µm
_060_,5.06µm
net33,5.06µm
_046_,4.86µm
net40,4.81µm
_038_,4.58µm
DPATH.SUM.Cout0,4.32µm
_091_,4.2µm
net47,4.14µm
_053_,3.96µm
_104_,3.96µm
net49,3.96µm
CTRL.P1,3.85µm
net5,3.85µm
_012_,3.72µm
_001_,3.715µm
net38,3.54µm
_069_,3.48µm
net16,3.48µm
_090_,3.43µm
_055_,3.42µm
_086_,3.13µm
_062_,3.07µm
DPATH.SUM.fa_6.S,3µm
_048_,3µm
_013_,2.94µm
net41,2.66µm
DPATH.SUM.fa_4.S,2.58µm
_003_,2.52µm
_023_,2.52µm
_079_,2.52µm
net11,2.52µm
_017_,2.22µm
net44,0.96µm
net48,0.96µm
