net,length_um
DPATH.SUM.ha_0.S,116.255µm
net22,110.455µm
net39,104.96µm
net25,101.18µm
net42,101.085µm
net41,100.535µm
net37,95.805µm
net32,87.82µm
net40,86.615µm
net29,85.165µm
net28,84.49µm
net35,83.585µm
net36,83.095µm
net34,76.5µm
net31,73.42µm
net27,70.9µm
DPATH.SUM.fa_2.A,68.965µm
DPATH.SUM.fa_4.A,68.71µm
o_signB,62.76µm
clknet_1_1__leaf_clk,61.1µm
net38,59.965µm
_110_,59.125µm
net23,58.815µm
net1,57.605µm
_116_,54.575µm
_028_,53.715µm
net30,52.45µm
net24,52.115µm
CTRL.S0,51.67µm
net33,51.16µm
net12,50.625µm
net20,47.485µm
rst,46.8µm
_070_,46.525µm
net26,46.03µm
DPATH.SUM.fa_6.A,45.735µm
_030_,45.44µm
_115_,45.245µm
_011_,45.17µm
net16,41.275µm
_055_,41.085µm
_014_,40.345µm
_088_,40.175µm
_112_,38.4µm
DATA[4],38.15µm
net2,37.65µm
_117_,36.49µm
_083_,36.19µm
_071_,36.14µm
clknet_1_0__leaf_clk,35.6µm
_060_,35.575µm
DATA[1],35.45µm
_128_,35.03µm
_000_,34.44µm
_008_,33.92µm
_087_,33.295µm
DPATH.SUM.fa_3.A,33.25µm
DATA[15],33.12µm
DATA[2],32.64µm
o_sign,32.4µm
DATA[9],32.03µm
_120_,31.84µm
_106_,31.62µm
clk,30.92µm
clknet_0_clk,29.485µm
net11,29.11µm
_023_,27.43µm
DATA[11],27.23µm
_129_,27.01µm
_113_,26.955µm
DATA[7],26.69µm
DATA[0],25.91µm
DPATH.SUM.fa_5.A,25.69µm
net8,25.245µm
_097_,24.87µm
_005_,23.82µm
net4,23.35µm
_107_,22.46µm
_081_,20.705µm
_059_,20.41µm
DPATH.SUM.fa_1.A,20.4µm
net7,20.35µm
_037_,20.3µm
_092_,20.025µm
_126_,19.89µm
_015_,19.59µm
_109_,18.19µm
_085_,18µm
_079_,17.52µm
_032_,17.43µm
_050_,17.4µm
DATA[13],17.315µm
_004_,17.22µm
_001_,16.99µm
_040_,15.84µm
net14,15.81µm
_007_,15.36µm
DATA[3],15.23µm
_122_,14.75µm
_082_,14.54µm
_101_,14.34µm
_012_,14.065µm
_049_,14.06µm
_111_,13.74µm
_100_,13.68µm
_025_,13.38µm
_033_,13.2µm
_102_,13.2µm
_099_,13.04µm
_089_,12.96µm
DATA[6],12.95µm
_029_,12.42µm
_124_,12.13µm
_002_,11.78µm
_031_,11.425µm
_093_,10.92µm
_057_,10.82µm
_016_,10.81µm
_118_,10.7µm
DPATH.SUM.fa_6.S,10.56µm
CTRL.P0,10.34µm
DATA[17],10.01µm
_006_,9.9µm
DATA[12],9.77µm
net5,9.66µm
net21,9.61µm
_119_,9.55µm
DATA[8],9.12µm
_039_,9.06µm
_096_,8.7µm
_098_,8.7µm
_053_,8.65µm
_103_,8.65µm
_021_,8.47µm
_010_,8.35µm
_019_,8.34µm
_036_,8.31µm
_013_,8.04µm
_080_,7.92µm
_091_,7.92µm
DPATH.SUM.Cout0,7.845µm
_078_,7.785µm
CTRL.P1,7.63µm
_045_,7.555µm
_068_,7.555µm
DPATH.SUM.fa_3.S,7.39µm
_077_,7.275µm
_003_,7.26µm
DATA[5],7.25µm
_026_,7.2µm
DATA[14],7.2µm
_104_,7.14µm
_105_,7.14µm
DATA[16],6.875µm
DATA[10],6.78µm
_038_,6.73µm
_022_,6.72µm
_075_,6.57µm
_035_,6.5µm
_090_,6.5µm
_121_,6.485µm
net17,6.36µm
net19,6.36µm
net6,6.25µm
_047_,6.25µm
_064_,6.02µm
_125_,5.88µm
_051_,5.64µm
DPATH.SUM.fa_5.S,5.58µm
_095_,5.54µm
_042_,5.53µm
_054_,5.52µm
_086_,5.495µm
_058_,5.22µm
_074_,5.16µm
_094_,5.16µm
_020_,5.05µm
_018_,5.04µm
_065_,4.92µm
DPATH.SUM.fa_2.S,4.87µm
_072_,4.75µm
_069_,4.68µm
net15,4.58µm
_063_,4.57µm
_067_,4.44µm
_009_,4.2µm
_108_,4.195µm
net43,4.195µm
_048_,4.105µm
net13,4.1µm
_062_,3.96µm
net9,3.9µm
_034_,3.9µm
_052_,3.48µm
_084_,3.42µm
net3,3.36µm
_127_,3.14µm
DPATH.SUM.fa_1.S,3.06µm
DPATH.SUM.fa_4.S,3.06µm
net18,3µm
_041_,3µm
_114_,2.94µm
_043_,2.79µm
_027_,2.755µm
_076_,2.325µm
_024_,2.28µm
_056_,2.28µm
_066_,2.28µm
_073_,2.28µm
_017_,1.92µm
_046_,1.92µm
_044_,1.8µm
_061_,1.8µm
net10,1.795µm
_123_,0.96µm
