net,length_um
net22,158.885µm
net55,113.405µm
net60,110.32µm
net51,92.565µm
net71,90.71µm
net52,88.635µm
net69,87.22µm
net57,80.04µm
_118_,74.375µm
clknet_1_1__leaf_clk,72.31µm
net64,71.52µm
net58,70.085µm
net63,68.66µm
net61,68.475µm
net12,67.43µm
net72,66.475µm
sine_out[17],65.36µm
clknet_1_0__leaf_clk,64.1µm
net66,63.43µm
net62,62.83µm
_108_,60.125µm
sine_out[11],59.97µm
_109_,59.935µm
net56,59.24µm
sine_out[16],59.24µm
_126_,58.85µm
_111_,57.72µm
_122_,56.755µm
net1,55.495µm
clk,54.9µm
net54,54.63µm
net10,53.16µm
sine_out[15],53.12µm
sine_out[13],53.01µm
net11,52.15µm
net15,52.03µm
net5,51.25µm
net65,49.835µm
_034_,48.24µm
net70,48.24µm
net68,47.58µm
net59,46.525µm
_106_,43.18µm
net8,42.24µm
_084_,41.54µm
_104_,40.08µm
sine_out[14],40.05µm
net21,39.99µm
_025_,38.865µm
net53,38.195µm
_119_,37.71µm
DPATH.SUM.ha_0.S,35.825µm
sine_out[10],35.13µm
sine_out[9],34.72µm
clknet_0_clk,34.56µm
sine_out[6],34.28µm
_026_,33.855µm
_116_,33.38µm
_105_,32.63µm
net9,31.27µm
signB,30.44µm
_113_,30.145µm
_086_,29.45µm
net67,29.35µm
_112_,29.25µm
_100_,28.69µm
_047_,28.465µm
_083_,28.44µm
net20,27.92µm
sine_out[12],27.74µm
net18,27.66µm
_046_,27.63µm
_120_,26.805µm
_079_,26.53µm
net4,25.69µm
_035_,25.59µm
sign,23.84µm
_038_,23.64µm
_036_,23.55µm
_021_,23.32µm
_012_,22.87µm
_027_,22.74µm
sine_out[8],22.47µm
DPATH.SUM.Cout0,22.425µm
sine_out[0],22.34µm
_077_,22.28µm
sine_out[4],22.05µm
_069_,21.79µm
net6,21.54µm
CTRL.S0,21.26µm
rst,20.72µm
_039_,20.67µm
_005_,20.17µm
_040_,20.11µm
_110_,19.74µm
_022_,19.6µm
_098_,19.315µm
_016_,18.78µm
sine_out[7],18.74µm
_004_,18.49µm
_028_,18.24µm
sine_out[5],18.09µm
_010_,18.045µm
_121_,17.34µm
_060_,17.1µm
_052_,17.095µm
_019_,16.86µm
sine_out[3],16.64µm
DPATH.SUM.fa_6.S,16.63µm
sine_out[1],16.59µm
_072_,16.32µm
net19,16.15µm
_066_,16.08µm
_013_,15.6µm
_011_,15.535µm
_123_,15.24µm
sine_out[2],15.2µm
net7,14.4µm
_102_,14.34µm
_065_,14.26µm
_058_,14.23µm
_064_,14.16µm
_085_,14.06µm
net13,13.86µm
_020_,13.615µm
_114_,13.39µm
_006_,13.38µm
_117_,13.38µm
_015_,13.27µm
_023_,12.805µm
_032_,12.655µm
CTRL.P0,12.55µm
_099_,12.5µm
_044_,12.43µm
_089_,12.43µm
_062_,12.415µm
_088_,12.295µm
_101_,12.25µm
_103_,11.915µm
net3,11.87µm
net17,11.765µm
_080_,11.47µm
_078_,11.28µm
_096_,11.14µm
_017_,11.05µm
_095_,10.915µm
_127_,10.51µm
_063_,10.45µm
_115_,10.45µm
_014_,10.34µm
_094_,10.34µm
_041_,10.14µm
_029_,10.03µm
DPATH.SUM.fa_5.A,9.85µm
_045_,9.79µm
_071_,9.445µm
_055_,9.33µm
_001_,9.07µm
_092_,9.07µm
_125_,9.07µm
_068_,9.06µm
_051_,8.82µm
_050_,8.44µm
DPATH.SUM.fa_6.A,8.22µm
_018_,8.22µm
DPATH.SUM.fa_2.S,7.98µm
_097_,7.82µm
_087_,7.785µm
_091_,7.68µm
_009_,7.515µm
_093_,7.495µm
_031_,7.47µm
_033_,7.15µm
net2,6.9µm
net16,6.66µm
CTRL.P1,6.61µm
net14,6.55µm
_074_,6.36µm
DPATH.SUM.fa_1.S,6.13µm
_124_,5.945µm
_024_,5.67µm
_070_,5.64µm
DPATH.SUM.fa_4.S,5.58µm
_057_,5.23µm
_081_,5.22µm
_073_,5.16µm
DPATH.SUM.fa_3.S,5.1µm
_043_,4.68µm
_075_,4.675µm
_056_,4.57µm
DPATH.SUM.fa_5.S,4.44µm
_048_,4.43µm
DPATH.SUM.fa_4.A,4.38µm
_059_,4.33µm
_054_,4.26µm
_002_,4.2µm
_008_,4.2µm
_082_,4.195µm
DPATH.SUM.fa_3.A,3.9µm
_061_,3.84µm
_003_,3.715µm
_007_,3.62µm
_067_,3.14µm
_053_,3.13µm
_076_,2.76µm
_090_,2.755µm
_049_,2.7µm
_107_,2.65µm
_000_,2.52µm
DPATH.SUM.fa_2.A,2.275µm
DPATH.SUM.fa_1.A,1.86µm
_037_,1.8µm
net23,1.44µm
_042_,0.96µm
_030_,0.72µm
