net,length_um
net39,120.21µm
DPATH.SUM.ha_0.S,105.7µm
net42,102.63µm
net29,101.865µm
net22,95.665µm
net41,90.66µm
net25,90.33µm
net37,90.27µm
net36,89.23µm
net32,85.015µm
net35,84.205µm
net28,77.4µm
net40,76.09µm
net34,75.87µm
net31,73.385µm
net1,71.105µm
DPATH.SUM.fa_2.A,68.625µm
DPATH.SUM.fa_4.A,66.88µm
net27,64.93µm
signB,63.12µm
_116_,61.195µm
_110_,60.405µm
net23,58.19µm
net38,58.185µm
net30,57.725µm
net33,56.265µm
clknet_1_1__leaf_clk,54.81µm
_115_,52.87µm
_028_,52.395µm
net2,50.835µm
net16,49.5µm
CTRL.S0,48.38µm
_030_,47.67µm
rst,47.4µm
net24,46.76µm
DPATH.SUM.fa_6.A,46.56µm
_070_,43.2µm
net14,43.16µm
_055_,42.4µm
net26,40.405µm
sine_out[4],40.175µm
_088_,38.895µm
_000_,38.395µm
_083_,37.515µm
_071_,37.44µm
_014_,37.275µm
_117_,37.22µm
net4,36.955µm
_011_,36.495µm
_060_,36.27µm
clknet_1_0__leaf_clk,35.12µm
sine_out[15],34.43µm
sine_out[1],34.01µm
_128_,33.99µm
sine_out[9],33.95µm
_112_,33.62µm
_120_,33.025µm
net18,32.76µm
sign,32.4µm
_106_,30.665µm
clk,30.62µm
clknet_0_clk,29.48µm
_109_,28.335µm
sine_out[11],27.83µm
_113_,27.12µm
_087_,26.975µm
sine_out[7],26.69µm
_129_,26.59µm
_107_,26.51µm
_037_,26.055µm
sine_out[2],25.92µm
sine_out[0],25.91µm
net13,25.75µm
DPATH.SUM.fa_3.A,25.32µm
net10,25.2µm
_023_,24.96µm
DPATH.SUM.fa_5.A,24.73µm
_005_,23.82µm
_001_,23.105µm
_097_,22.21µm
_059_,21µm
_092_,20.82µm
DPATH.SUM.fa_1.A,20.4µm
_008_,19.435µm
_081_,19.34µm
_050_,17.88µm
_100_,17.78µm
_079_,17.52µm
sine_out[13],17.315µm
_004_,17.22µm
net9,16.51µm
_085_,16.44µm
_099_,16.39µm
_032_,16.2µm
_126_,16.14µm
_040_,15.84µm
sine_out[3],15.23µm
_031_,14.345µm
_015_,14.315µm
net3,13.92µm
_122_,13.39µm
_049_,13.32µm
_102_,13.2µm
_082_,13.1µm
_124_,13.09µm
_089_,12.96µm
sine_out[6],12.95µm
_111_,12.74µm
_025_,12.42µm
_033_,12.2µm
_002_,11.95µm
_029_,11.55µm
_098_,11.46µm
_118_,11.42µm
_016_,11.29µm
net7,11.23µm
_093_,10.92µm
_057_,10.865µm
_012_,10.825µm
DPATH.SUM.fa_6.S,10.56µm
net6,10.45µm
CTRL.P0,10.34µm
_010_,10.27µm
_006_,10.08µm
_101_,10.02µm
sine_out[17],10.01µm
sine_out[12],9.77µm
_119_,9.55µm
_026_,9.12µm
_096_,9.12µm
net21,9.12µm
sine_out[14],9.12µm
sine_out[8],9.12µm
_053_,8.65µm
_103_,8.65µm
_039_,8.64µm
_036_,8.31µm
sine_out[10],8.09µm
_013_,8.04µm
_021_,7.96µm
_080_,7.92µm
_091_,7.92µm
DPATH.SUM.Cout0,7.69µm
_047_,7.69µm
CTRL.P1,7.63µm
_125_,7.56µm
_068_,7.555µm
_045_,7.45µm
DPATH.SUM.fa_3.S,7.39µm
_078_,7.26µm
sine_out[5],7.25µm
_104_,7.14µm
_105_,7.14µm
_019_,7.08µm
sine_out[16],6.875µm
_022_,6.72µm
net5,6.72µm
_075_,6.57µm
_035_,6.5µm
_090_,6.5µm
_121_,6.485µm
net19,6.36µm
_003_,6.3µm
DPATH.SUM.fa_5.S,6.06µm
_064_,6.02µm
_077_,6µm
net8,5.88µm
_095_,5.54µm
_042_,5.53µm
_054_,5.52µm
_072_,5.49µm
_065_,5.29µm
_058_,5.22µm
_051_,5.16µm
_069_,5.16µm
_094_,5.16µm
_063_,5.05µm
_073_,5.05µm
_018_,5.04µm
DPATH.SUM.fa_2.S,4.87µm
net11,4.75µm
_086_,4.68µm
_108_,4.615µm
_020_,4.57µm
_038_,4.57µm
_067_,4.44µm
_007_,4.38µm
_043_,4.36µm
_123_,4.32µm
_009_,4.2µm
net43,4.195µm
_048_,4.105µm
net15,4.1µm
_052_,4.005µm
_062_,3.96µm
_034_,3.9µm
DPATH.SUM.fa_1.S,3.85µm
net17,3.715µm
DPATH.SUM.fa_4.S,3.43µm
_127_,3.14µm
_041_,3µm
net20,3µm
_027_,2.7µm
_114_,2.66µm
_074_,2.43µm
_024_,2.28µm
_056_,2.28µm
_066_,2.28µm
_076_,2.28µm
net12,2.17µm
_017_,1.92µm
_044_,1.8µm
_061_,1.8µm
_084_,1.8µm
_046_,1.44µm
