net,length_um
net53,116.55µm
net74,105.71µm
net67,103.955µm
net70,96.175µm
net64,93.13µm
net61,87.675µm
net57,82.795µm
_111_,81.195µm
_107_,78.035µm
net37,77.115µm
net65,75.64µm
net51,73.225µm
_009_,69.395µm
_118_,68.785µm
clk,65.845µm
net71,62.91µm
net54,62.67µm
net56,59.99µm
net69,59.395µm
_124_,58.22µm
net52,57.835µm
DPATH.SUM.ha_0.S,56.055µm
net66,54.26µm
net9,53.5µm
net55,53.18µm
net73,53.05µm
net58,52.245µm
net75,51.885µm
_022_,51.32µm
net50,51.16µm
_115_,50.845µm
_109_,50.8µm
_117_,49.8µm
net35,49.7µm
_101_,48.915µm
net10,48.7µm
net62,48.15µm
net68,48.04µm
net60,48µm
_106_,47.54µm
net63,47.165µm
_102_,46.265µm
clknet_1_0__leaf_clk,45.545µm
sine_out[0],44.185µm
_113_,43.25µm
sine_out[32],42.385µm
_045_,42.005µm
sine_out[1],41.065µm
net72,40.765µm
sine_out[31],39.775µm
_110_,39µm
_122_,38.695µm
sine_out[30],38.655µm
_035_,38.185µm
net7,37.74µm
_047_,37.455µm
net59,36.99µm
sine_out[2],36.855µm
net3,36.12µm
net26,35.78µm
sine_out[29],33.855µm
net22,33.825µm
clknet_0_clk,33.37µm
sine_out[27],32.425µm
sine_out[28],32.425µm
clknet_1_1__leaf_clk,30.93µm
_096_,30.32µm
net4,30.16µm
sine_out[3],29.175µm
_108_,27.85µm
_052_,27.655µm
sine_out[26],27.375µm
_036_,27.36µm
_037_,27.26µm
_019_,26.925µm
net34,26.36µm
_005_,26.17µm
sine_out[6],24.975µm
net2,24.97µm
sine_out[25],24.495µm
sine_out[7],24.495µm
_058_,24.24µm
_042_,24.165µm
sine_out[8],24.055µm
sine_out[4],24.015µm
_105_,23.94µm
_016_,23.755µm
_119_,23.745µm
net30,23.71µm
_078_,23.6µm
sine_out[5],23.535µm
_033_,23.35µm
_099_,23.11µm
_034_,22.845µm
sine_out[9],22.575µm
sine_out[11],22.325µm
_068_,22.175µm
net20,22.02µm
_064_,21.66µm
sine_out[24],21.615µm
net21,21.48µm
sine_out[23],21.135µm
sine_out[10],21.025µm
_014_,20.99µm
net13,20.46µm
_043_,20.445µm
_060_,20.41µm
_086_,20.28µm
sine_out[22],20.175µm
sine_out[21],20.065µm
sine_out[12],19.695µm
sine_out[20],19.685µm
_018_,19.56µm
net1,19.56µm
_100_,19.34µm
sine_out[13],19.215µm
sine_out[19],19.215µm
net17,18.84µm
net8,18.74µm
sine_out[14],18.735µm
_066_,18.66µm
net32,18.36µm
sine_out[15],18.255µm
sine_out[16],18.255µm
sine_out[18],18.255µm
_076_,17.825µm
sine_out[17],17.775µm
_065_,17.77µm
_070_,17.71µm
_093_,17.53µm
_104_,17.52µm
signB,16.92µm
net19,16.68µm
DPATH.SUM.fa_3.A,16.62µm
net29,16.45µm
_051_,15.96µm
_087_,15.6µm
_026_,15.595µm
_044_,15.37µm
net24,15.3µm
_001_,14.82µm
_032_,14.82µm
_053_,14.63µm
_013_,14.18µm
net16,14.04µm
_028_,14µm
_008_,13.98µm
net11,13.93µm
_103_,13.905µm
net27,13.86µm
_040_,13.81µm
_024_,13.63µm
_021_,13.615µm
DPATH.SUM.fa_1.A,13.38µm
_075_,13.38µm
net36,13.32µm
_050_,13.3µm
_091_,13.22µm
_057_,12.84µm
_114_,12.73µm
net15,12.72µm
DPATH.SUM.fa_2.S,12.66µm
_049_,11.58µm
net25,11.46µm
_077_,11.3µm
_061_,11.29µm
_098_,11.29µm
_023_,11.04µm
net14,11.04µm
net38,10.57µm
_029_,10.33µm
_116_,10.315µm
_090_,9.85µm
net33,9.8µm
_094_,9.69µm
_025_,9.59µm
sign,9.36µm
_000_,9.07µm
_092_,9.07µm
_046_,8.7µm
net23,8.65µm
_038_,8.52µm
_112_,8.52µm
_080_,8.515µm
_041_,8.32µm
_085_,8.22µm
_004_,8.16µm
_072_,8.04µm
_055_,7.99µm
_054_,7.82µm
_056_,7.8µm
_082_,7.8µm
net12,7.69µm
DPATH.SUM.fa_5.S,7.68µm
_011_,7.57µm
net18,7.555µm
_084_,7.22µm
rst,7.215µm
DPATH.SUM.fa_3.S,7.02µm
_121_,6.985µm
_079_,6.97µm
_039_,6.72µm
_083_,6.67µm
_002_,6.5µm
_059_,6.48µm
_097_,6.25µm
_120_,6.19µm
net39,6.19µm
_031_,6.12µm
_003_,6.115µm
_012_,6.115µm
_067_,5.77µm
_017_,5.65µm
CTRL.S0,5.64µm
_062_,5.54µm
_071_,5.53µm
net6,5.445µm
_007_,4.86µm
_048_,4.81µm
net28,4.605µm
_030_,4.58µm
_020_,4.38µm
DPATH.SUM.Cout0,4.32µm
_063_,4.09µm
DPATH.SUM.fa_6.A,3.96µm
_095_,3.9µm
net5,3.72µm
CTRL.P0,3.62µm
_088_,3.48µm
DPATH.SUM.fa_6.S,3.42µm
_069_,3.24µm
_081_,3.15µm
DPATH.SUM.fa_5.A,3µm
DPATH.SUM.fa_4.A,2.94µm
_006_,2.94µm
_074_,2.94µm
_123_,2.94µm
net31,2.94µm
_089_,2.33µm
_073_,2.28µm
_015_,2.275µm
_010_,2.22µm
DPATH.SUM.fa_2.A,1.86µm
DPATH.SUM.fa_4.S,1.44µm
CTRL.P1,1.38µm
DPATH.SUM.fa_1.S,1.38µm
_027_,1.38µm
