Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_118,VDD,Metal1,62.6400,71.8200,1.200000
FILLER_14_116,VDD,Metal1,61.9200,71.8200,1.200000
FILLER_14_0,VDD,Metal1,6.2400,71.8200,1.200000
FILLER_13_118,VDD,Metal1,62.6400,64.2600,1.200000
FILLER_13_116,VDD,Metal1,61.9200,64.2600,1.200000
FILLER_13_85,VDD,Metal1,46.8000,64.2600,1.200000
FILLER_13_42,VDD,Metal1,26.4000,64.2600,1.200000
FILLER_13_36,VDD,Metal1,23.2800,64.2600,1.200000
FILLER_13_29,VDD,Metal1,20.1600,64.2600,1.200000
FILLER_13_17,VDD,Metal1,14.4000,64.2600,1.200000
FILLER_13_0,VDD,Metal1,6.2400,64.2600,1.200000
FILLER_12_69,VDD,Metal1,39.1200,64.2600,1.200000
FILLER_11_118,VDD,Metal1,62.6400,56.7000,1.200000
FILLER_11_116,VDD,Metal1,61.9200,56.7000,1.200000
FILLER_11_104,VDD,Metal1,56.1600,56.7000,1.200000
FILLER_11_98,VDD,Metal1,53.0400,56.7000,1.200000
FILLER_11_96,VDD,Metal1,52.3200,56.7000,1.200000
FILLER_11_82,VDD,Metal1,45.3600,56.7000,1.200000
FILLER_11_64,VDD,Metal1,36.9600,56.7000,1.200000
FILLER_11_54,VDD,Metal1,31.9200,56.7000,1.200000
FILLER_11_44,VDD,Metal1,27.1200,56.7000,1.200000
FILLER_11_29,VDD,Metal1,19.9200,56.7000,1.200000
FILLER_11_27,VDD,Metal1,19.2000,56.7000,1.200000
FILLER_10_118,VDD,Metal1,62.6400,56.7000,1.200000
FILLER_10_116,VDD,Metal1,61.9200,56.7000,1.200000
FILLER_10_99,VDD,Metal1,53.7600,56.7000,1.200000
FILLER_10_93,VDD,Metal1,50.8800,56.7000,1.200000
FILLER_10_58,VDD,Metal1,33.8400,56.7000,1.200000
FILLER_10_56,VDD,Metal1,33.1200,56.7000,1.200000
FILLER_10_5,VDD,Metal1,8.6400,56.7000,1.200000
FILLER_9_86,VDD,Metal1,47.5200,49.1400,1.200000
FILLER_9_61,VDD,Metal1,35.5200,49.1400,1.200000
FILLER_8_117,VDD,Metal1,62.4000,49.1400,1.200000
FILLER_8_99,VDD,Metal1,53.5200,49.1400,1.200000
FILLER_8_93,VDD,Metal1,50.8800,49.1400,1.200000
FILLER_8_83,VDD,Metal1,46.0800,49.1400,1.200000
FILLER_8_67,VDD,Metal1,38.1600,49.1400,1.200000
FILLER_8_65,VDD,Metal1,37.4400,49.1400,1.200000
FILLER_8_51,VDD,Metal1,30.4800,49.1400,1.200000
FILLER_8_13,VDD,Metal1,12.2400,49.1400,1.200000
FILLER_8_7,VDD,Metal1,9.3600,49.1400,1.200000
