2026-03-28 21:41:06 +0000: Memory Usage (429644K) : psd_drw has 748 polygons
2026-03-28 21:41:06 +0000: Memory Usage (429644K) : nldb_drw has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (429644K) : digibnd_drw has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (429772K) : via1_drw has 778 polygons
2026-03-28 21:41:06 +0000: Memory Usage (429772K) : backmetal1_drw has 0 polygons
2026-03-28 21:41:06 +0000: Memory Usage (429900K) : backmetal1_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (429900K) : backmetal1_mask has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430028K) : backmetal1_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430028K) : backmetal1_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430156K) : backmetal1_slit has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430156K) : backmetal1_text has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430284K) : backmetal1_opc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430284K) : backmetal1_noqrc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430412K) : backmetal1_res has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430412K) : backmetal1_iprobe has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430540K) : backmetal1_diffprb has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430540K) : backpassiv_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430668K) : res_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430668K) : sram_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430796K) : trans_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430796K) : ind_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430924K) : ind_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (430924K) : ind_text has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431052K) : salblock_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431052K) : via2_drw has 723 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431180K) : metal3_drw has 389 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431180K) : metal3_pin has 20 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431308K) : metal3_mask has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431308K) : metal3_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431436K) : metal3_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431436K) : metal3_slit has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431436K) : metal3_text has 20 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431564K) : metal3_opc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431564K) : metal3_noqrc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431692K) : metal3_res has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (431948K) : metal3_iprobe has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432076K) : metal3_diffprb has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432076K) : nwell_drw has 370 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432204K) : nwell_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432204K) : nbulay_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432204K) : nbulay_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432204K) : nbulay_block has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432204K) : emwind_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432204K) : emwind_opc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432332K) : deepco_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432332K) : deepco_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432460K) : mim_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432460K) : edgeseal_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432588K) : edgeseal_bound has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432588K) : substrate_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432716K) : substrate_text has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432716K) : dfpad_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432844K) : dfpad_pillar has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432844K) : dfpad_sbump has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432972K) : thickgateox_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (432972K) : pldb_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433100K) : pwell_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433100K) : pwell_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433228K) : pwell_block has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433228K) : ic_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433356K) : via3_drw has 165 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433356K) : metal4_drw has 45 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433484K) : metal4_pin has 6 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433484K) : metal4_mask has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433612K) : metal4_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433612K) : metal4_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433740K) : metal4_slit has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433740K) : metal4_text has 6 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433868K) : metal4_opc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433868K) : metal4_noqrc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433996K) : metal4_res has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (433996K) : metal4_iprobe has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434124K) : metal4_diffprb has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434124K) : heattrans_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434252K) : heatres_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434252K) : pempoly_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434380K) : fbe_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434380K) : empoly_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434508K) : ldmos_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434508K) : pbiwind_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434636K) : digisub_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434636K) : nodrc_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434764K) : text_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434764K) : via4_drw has 514 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434892K) : metal5_drw has 7 polygons
2026-03-28 21:41:07 +0000: Memory Usage (434892K) : metal5_pin has 6 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435020K) : metal5_mask has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435020K) : metal5_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435148K) : metal5_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435148K) : metal5_slit has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435276K) : metal5_text has 6 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435276K) : metal5_opc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435404K) : metal5_noqrc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435404K) : metal5_res has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435532K) : metal5_iprobe has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435532K) : metal5_diffprb has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435660K) : radhard_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435660K) : memcap_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435788K) : varicap_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435788K) : flash_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435916K) : intbondvia_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (435916K) : intbondmet_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436044K) : devbondvia_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436044K) : devbondmet_drw has 0 polygons
