net,length_um
net46,130.32µm
net50,130.305µm
net54,111.96µm
net64,99.195µm
net57,98.085µm
net61,94.25µm
net52,93.01µm
net22,91.955µm
net55,91.305µm
net59,83.57µm
net47,77.92µm
net66,76.825µm
net58,68.23µm
net65,65.21µm
_106_,62.23µm
_120_,61.42µm
_066_,58.24µm
net1,56.46µm
net3,56.35µm
net62,54.465µm
clk,53.25µm
net53,53.25µm
_109_,53.065µm
_086_,52.785µm
net48,52.59µm
net15,48.52µm
_104_,48.465µm
net67,48.39µm
net19,46.82µm
net63,46.4µm
_047_,45.435µm
sine_out[17],44.07µm
net49,43.27µm
_118_,42.095µm
clknet_1_0__leaf_clk,41.67µm
DPATH.SUM.fa_3.A,41.33µm
net51,40.53µm
_094_,39.755µm
sine_out[16],39.39µm
_111_,37.025µm
_084_,36.845µm
_034_,36.49µm
net56,35.725µm
net16,35.31µm
sine_out[0],33.63µm
sine_out[14],33.04µm
_038_,32.88µm
_105_,32.775µm
sine_out[15],32.54µm
_065_,32.01µm
_108_,31.435µm
_085_,31.385µm
_077_,31.27µm
DPATH.SUM.fa_4.A,30.9µm
_052_,30.635µm
_041_,30.63µm
net21,30.56µm
clknet_0_clk,30.01µm
_116_,29.94µm
net2,29.425µm
_119_,29.395µm
_020_,29.315µm
_122_,28.635µm
_014_,27.42µm
_026_,26.95µm
_121_,26.77µm
_022_,26.7µm
sine_out[1],26.54µm
DPATH.SUM.Cout0,26.23µm
sine_out[13],26.06µm
net12,25.85µm
_025_,25.1µm
_012_,24.62µm
net10,24.3µm
net20,24.12µm
net6,23.82µm
_110_,23.355µm
_015_,23.235µm
_115_,23.06µm
_100_,22.965µm
_010_,22.95µm
_103_,22.57µm
_013_,22.2µm
net14,21.96µm
_126_,21.405µm
_046_,21.28µm
_059_,20.89µm
_011_,20.77µm
clknet_1_1__leaf_clk,20.76µm
_021_,20.505µm
sine_out[8],20.42µm
_016_,20.35µm
_045_,20.22µm
net60,20.125µm
sine_out[6],19.94µm
_091_,19.555µm
sine_out[7],19.46µm
_032_,19.24µm
_090_,19.14µm
_097_,19.14µm
_027_,19.03µm
sine_out[11],18.98µm
_098_,18.97µm
_095_,18.96µm
_035_,18.915µm
_017_,18.72µm
_003_,18.55µm
sine_out[10],18.5µm
sine_out[12],18.5µm
sine_out[3],18.5µm
sine_out[5],18.5µm
sine_out[9],18.5µm
DPATH.SUM.ha_0.S,18.27µm
_112_,18.08µm
sine_out[2],18.02µm
sine_out[4],18.02µm
_004_,17.71µm
net5,17.59µm
_048_,17.56µm
_060_,17.28µm
_078_,16.64µm
_083_,16.22µm
_073_,16.08µm
_039_,15.5µm
_096_,15.49µm
_002_,15.25µm
_113_,15.24µm
_069_,14.34µm
_055_,13.81µm
_006_,13.39µm
_005_,13.38µm
_099_,13.315µm
_072_,12.84µm
_023_,12.49µm
_036_,12.48µm
net17,12.01µm
net11,11.83µm
_117_,11.395µm
_018_,11.28µm
_127_,11.05µm
DPATH.SUM.fa_4.S,10.74µm
DPATH.SUM.fa_3.S,10.57µm
_114_,10.57µm
_082_,10.56µm
CTRL.P0,10.39µm
net13,10.33µm
_063_,10.02µm
_050_,9.97µm
net18,9.97µm
_093_,9.94µm
_089_,9.55µm
rst,9.5µm
_053_,9.49µm
DPATH.SUM.fa_6.S,9.43µm
_081_,9.37µm
net9,9.36µm
sign,9.36µm
_125_,9.045µm
CTRL.S0,9.01µm
DPATH.SUM.fa_2.S,9µm
_067_,8.88µm
net7,8.83µm
_061_,8.65µm
_070_,8.52µm
_058_,8.42µm
net23,7.94µm
_124_,7.825µm
DPATH.SUM.fa_6.A,7.68µm
_107_,7.68µm
signB,7.68µm
_080_,7.63µm
_051_,7.425µm
_079_,7.26µm
_102_,7.21µm
_062_,7.15µm
_043_,6.915µm
_064_,6.905µm
_019_,6.87µm
_028_,6.675µm
_068_,6.6µm
_033_,6.43µm
_000_,6.36µm
_007_,6.19µm
DPATH.SUM.fa_5.S,6.06µm
_088_,5.94µm
_087_,5.82µm
_071_,5.435µm
_042_,5.16µm
_037_,5.065µm
DPATH.SUM.fa_2.A,5.04µm
_075_,4.87µm
_024_,4.44µm
_056_,4.44µm
_029_,4.33µm
_040_,4.03µm
_101_,4.005µm
_009_,3.9µm
_001_,3.72µm
_076_,3.6µm
_049_,3.48µm
_123_,3.42µm
_074_,3.14µm
DPATH.SUM.fa_1.A,3µm
DPATH.SUM.fa_5.A,3µm
_031_,3µm
_054_,3µm
net4,3µm
DPATH.SUM.fa_1.S,2.94µm
_008_,2.94µm
_044_,2.94µm
net8,2.94µm
_092_,2.76µm
net24,2.18µm
_057_,1.8µm
CTRL.P1,1.38µm
_030_,0.96µm
