Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_85,VSS,Metal1,46.8000,68.0400,0.000000
FILLER_13_83,VSS,Metal1,46.0800,68.0400,0.000000
FILLER_13_76,VSS,Metal1,43.9260,67.5790,0.000000
FILLER_13_69,VSS,Metal1,40.5660,67.5790,0.000000
FILLER_13_62,VSS,Metal1,37.2060,67.5790,0.000000
FILLER_13_55,VSS,Metal1,33.8460,67.5790,0.000000
FILLER_13_44,VSS,Metal1,28.5660,67.5790,0.000000
FILLER_13_37,VSS,Metal1,25.2060,67.5790,0.000000
FILLER_13_30,VSS,Metal1,21.8460,67.5790,0.000000
FILLER_13_23,VSS,Metal1,18.4860,67.5790,0.000000
FILLER_13_14,VSS,Metal1,13.4280,67.6630,0.000000
FILLER_13_7,VSS,Metal1,10.8060,67.5790,0.000000
FILLER_13_0,VSS,Metal1,7.4460,67.5790,0.000000
FILLER_12_114,VSS,Metal1,60.7200,60.4800,0.000021
FILLER_12_90,VSS,Metal1,49.2000,60.4800,0.000019
FILLER_12_83,VSS,Metal1,47.2860,60.9400,0.000018
FILLER_12_42,VSS,Metal1,26.1600,60.4800,0.000001
FILLER_12_40,VSS,Metal1,25.4400,60.4800,0.000001
FILLER_12_29,VSS,Metal1,19.9200,60.4800,0.000001
FILLER_12_7,VSS,Metal1,9.6000,60.4800,0.000001
FILLER_12_0,VSS,Metal1,7.4460,60.9400,0.000001
FILLER_11_81,VSS,Metal1,44.8800,60.4800,0.000017
FILLER_11_75,VSS,Metal1,42.2400,60.4800,0.000017
FILLER_11_70,VSS,Metal1,39.6000,60.4800,0.000008
FILLER_11_63,VSS,Metal1,37.6860,60.0190,0.000007
FILLER_11_44,VSS,Metal1,27.1200,60.4800,0.000002
FILLER_11_42,VSS,Metal1,26.4000,60.4800,0.000001
FILLER_11_36,VSS,Metal1,23.2800,60.4800,0.000001
FILLER_11_31,VSS,Metal1,20.8800,60.4800,0.000001
FILLER_11_27,VSS,Metal1,19.6680,60.1030,0.000001
FILLER_11_21,VSS,Metal1,16.0800,60.4800,0.000001
FILLER_11_17,VSS,Metal1,14.8680,60.1030,0.000001
FILLER_11_7,VSS,Metal1,9.6000,60.4800,0.000001
FILLER_11_0,VSS,Metal1,7.4460,60.0190,0.000001
FILLER_10_102,VSS,Metal1,54.9600,52.9200,0.000007
FILLER_10_96,VSS,Metal1,52.0800,52.9200,0.000007
FILLER_10_81,VSS,Metal1,46.3260,53.3800,0.000007
FILLER_10_74,VSS,Metal1,42.9660,53.3800,0.000007
FILLER_10_67,VSS,Metal1,38.4000,52.9200,0.000006
FILLER_10_63,VSS,Metal1,36.9480,53.2960,0.000006
FILLER_10_49,VSS,Metal1,29.5200,52.9200,0.000005
FILLER_10_45,VSS,Metal1,28.3080,53.2960,0.000002
FILLER_10_39,VSS,Metal1,24.9600,52.9200,0.000000
FILLER_10_35,VSS,Metal1,23.5080,53.2960,0.000000
FILLER_10_28,VSS,Metal1,20.8860,53.3800,0.000000
FILLER_10_0,VSS,Metal1,6.2400,52.9200,0.000000
FILLER_9_101,VSS,Metal1,54.4800,52.9200,0.000007
FILLER_9_82,VSS,Metal1,45.3600,52.9200,0.000007
FILLER_9_80,VSS,Metal1,44.6400,52.9200,0.000007
FILLER_9_75,VSS,Metal1,42.0000,52.9200,0.000007
FILLER_9_73,VSS,Metal1,41.2800,52.9200,0.000007
FILLER_9_62,VSS,Metal1,37.2060,52.4590,0.000006
FILLER_9_46,VSS,Metal1,28.3200,52.9200,0.000002
FILLER_9_35,VSS,Metal1,23.0400,52.9200,0.000000
FILLER_9_23,VSS,Metal1,17.2800,52.9200,0.000000
FILLER_9_19,VSS,Metal1,15.8280,52.5430,0.000000
FILLER_9_0,VSS,Metal1,7.4460,52.4590,0.000000
FILLER_8_114,VSS,Metal1,60.7200,45.3600,0.000009
FILLER_8_81,VSS,Metal1,44.8800,45.3600,0.000009
FILLER_8_66,VSS,Metal1,37.6800,45.3600,0.000007
FILLER_8_64,VSS,Metal1,36.9600,45.3600,0.000006
FILLER_8_49,VSS,Metal1,29.5200,45.3600,0.000002
FILLER_8_47,VSS,Metal1,28.8000,45.3600,0.000002
FILLER_8_11,VSS,Metal1,11.5200,45.3600,0.000000
FILLER_8_7,VSS,Metal1,10.0680,45.7360,0.000000
FILLER_8_0,VSS,Metal1,7.4460,45.8200,0.000000
FILLER_7_96,VSS,Metal1,52.3200,45.3600,0.000009
FILLER_7_60,VSS,Metal1,35.5080,44.9830,0.000006
FILLER_7_53,VSS,Metal1,32.8860,44.8990,0.000005
FILLER_7_43,VSS,Metal1,26.6400,45.3600,0.000000
FILLER_7_41,VSS,Metal1,25.9200,45.3600,0.000000
FILLER_7_28,VSS,Metal1,19.4400,45.3600,0.000000
FILLER_7_26,VSS,Metal1,18.7200,45.3600,0.000000
FILLER_7_4,VSS,Metal1,7.9200,45.3600,0.000000
FILLER_7_0,VSS,Metal1,6.7080,44.9830,0.000000
FILLER_6_90,VSS,Metal1,49.2000,37.8000,0.003862
FILLER_6_77,VSS,Metal1,42.9600,37.8000,0.003555
FILLER_6_65,VSS,Metal1,37.2000,37.8000,0.003241
FILLER_6_35,VSS,Metal1,22.8000,37.8000,0.000040
FILLER_6_31,VSS,Metal1,21.5880,38.1760,0.000040
FILLER_6_25,VSS,Metal1,18.0000,37.8000,0.000045
FILLER_6_21,VSS,Metal1,16.7880,38.1760,0.000046
FILLER_6_7,VSS,Metal1,9.3600,37.8000,0.000073
FILLER_6_0,VSS,Metal1,7.4460,38.2600,0.000086
FILLER_5_81,VSS,Metal1,45.1200,37.8000,0.003593
FILLER_5_69,VSS,Metal1,39.3600,37.8000,0.003249
FILLER_5_26,VSS,Metal1,18.4800,37.8000,0.000045
FILLER_5_22,VSS,Metal1,16.5600,37.8000,0.000046
FILLER_5_18,VSS,Metal1,14.6400,37.8000,0.000072
FILLER_5_0,VSS,Metal1,6.0000,37.8000,0.000086
FILLER_4_86,VSS,Metal1,47.5200,30.2400,0.000661
FILLER_4_19,VSS,Metal1,15.3600,30.2400,0.000087
FILLER_4_0,VSS,Metal1,6.2400,30.2400,0.000087
FILLER_3_101,VSS,Metal1,54.7200,30.2400,0.000939
FILLER_3_95,VSS,Metal1,51.8400,30.2400,0.000939
FILLER_3_55,VSS,Metal1,32.6400,30.2400,0.000208
FILLER_3_14,VSS,Metal1,12.7200,30.2400,0.000087
FILLER_3_0,VSS,Metal1,6.2400,30.2400,0.000087
FILLER_2_114,VSS,Metal1,60.7200,22.6800,0.000179
FILLER_2_85,VSS,Metal1,47.0400,22.6800,0.000166
FILLER_2_23,VSS,Metal1,17.2800,22.6800,0.000142
FILLER_2_0,VSS,Metal1,6.2400,22.6800,0.000142
FILLER_1_104,VSS,Metal1,56.1600,22.6800,0.000179
FILLER_1_68,VSS,Metal1,38.6400,22.6800,0.000158
FILLER_1_55,VSS,Metal1,32.4000,22.6800,0.000158
FILLER_1_18,VSS,Metal1,14.8800,22.6800,0.000142
FILLER_1_0,VSS,Metal1,6.2400,22.6800,0.000142
FILLER_0_52,VSS,Metal1,30.9600,15.1200,0.000068
FILLER_0_0,VSS,Metal1,6.2400,15.1200,0.000033
hold43,VSS,Metal1,58.8410,22.4720,0.000179
clkload0,VSS,Metal1,60.1100,60.2320,0.000021
clkbuf_1_1__f_clk,VSS,Metal1,54.9590,37.4100,0.003924
clkbuf_1_0__f_clk,VSS,Metal1,23.7600,23.0690,0.000142
clkbuf_0_clk,VSS,Metal1,43.4400,29.8500,0.000661
fanout42,VSS,Metal1,14.3650,15.3320,0.000033
fanout41,VSS,Metal1,11.0750,37.5870,0.000073
fanout40,VSS,Metal1,41.7250,38.0120,0.003486
fanout39,VSS,Metal1,33.5650,38.0120,0.003182
fanout38,VSS,Metal1,9.0850,37.5870,0.000074
fanout37,VSS,Metal1,30.2050,45.1470,0.000005
fanout36,VSS,Metal1,23.9650,38.0120,0.000038
fanout35,VSS,Metal1,19.7150,37.5870,0.000042
fanout34,VSS,Metal1,26.8450,52.7070,0.000001
fanout33,VSS,Metal1,26.3650,53.1320,0.000001
fanout32,VSS,Metal1,7.7150,30.0270,0.000087
fanout31,VSS,Metal1,34.1150,30.4520,0.000386
fanout30,VSS,Metal1,43.7150,45.1470,0.000009
fanout29,VSS,Metal1,34.1150,30.0270,0.000386
fanout28,VSS,Metal1,43.1650,52.7070,0.000007
fanout27,VSS,Metal1,58.1150,52.7070,0.000007
fanout26,VSS,Metal1,59.5550,45.5720,0.000009
fanout25,VSS,Metal1,46.1150,38.0120,0.003762
fanout24,VSS,Metal1,60.0350,38.0120,0.003924
fanout23,VSS,Metal1,24.5150,37.5870,0.000037
fanout22,VSS,Metal1,39.8750,38.0120,0.003359
output21,VSS,Metal1,47.9650,67.8270,0.000000
output20,VSS,Metal1,58.0450,67.8270,0.000000
output19,VSS,Metal1,51.8050,67.8270,0.000000
output18,VSS,Metal1,58.0450,30.0270,0.000939
output17,VSS,Metal1,59.9650,52.7070,0.000007
output16,VSS,Metal1,32.1250,15.3320,0.000112
output15,VSS,Metal1,59.9650,30.0270,0.000939
output14,VSS,Metal1,41.2450,15.3320,0.000262
output13,VSS,Metal1,34.0450,15.3320,0.000162
output12,VSS,Metal1,58.0450,45.1470,0.000009
output11,VSS,Metal1,59.9650,45.1470,0.000009
output10,VSS,Metal1,44.1250,38.0120,0.003585
output9,VSS,Metal1,58.0450,53.1320,0.000007
output8,VSS,Metal1,53.7250,67.8270,0.000000
output7,VSS,Metal1,59.9650,67.8270,0.000000
output6,VSS,Metal1,49.8850,67.8270,0.000000
output5,VSS,Metal1,59.9650,53.1320,0.000007
output4,VSS,Metal1,45.0850,15.3320,0.000361
output3,VSS,Metal1,56.1250,53.1320,0.000007
output2,VSS,Metal1,43.1650,15.3320,0.000311
input1,VSS,Metal1,7.1650,37.5870,0.000086
_296_,VSS,Metal1,54.3450,30.5320,0.000939
_295_,VSS,Metal1,54.3450,15.4120,0.000406
_294_,VSS,Metal1,53.8650,22.9720,0.000179
_293_,VSS,Metal1,45.2250,22.3870,0.000166
_292_,VSS,Metal1,36.1050,22.9720,0.000158
_291_,VSS,Metal1,21.7050,15.4120,0.000029
_290_,VSS,Metal1,21.7050,22.3870,0.000142
_289_,VSS,Metal1,19.3050,29.9470,0.000087
_288_,VSS,Metal1,22.4550,30.5320,0.000088
_287_,VSS,Metal1,48.5900,45.1120,0.000009
_286_,VSS,Metal1,39.4700,15.3670,0.000217
_285_,VSS,Metal1,35.8900,30.4870,0.000584
_284_,VSS,Metal1,22.9300,37.5520,0.000040
_283_,VSS,Metal1,21.4900,37.5520,0.000040
_282_,VSS,Metal1,15.7300,37.5520,0.000072
_281_,VSS,Metal1,17.3900,37.5520,0.000046
_280_,VSS,Metal1,46.1900,52.6720,0.000007
_279_,VSS,Metal1,10.7090,30.5110,0.000087
_278_,VSS,Metal1,12.5600,23.0130,0.000142
_277_,VSS,Metal1,55.5250,45.1070,0.000009
_276_,VSS,Metal1,50.4520,45.1800,0.000009
_275_,VSS,Metal1,57.1550,45.5150,0.000009
_274_,VSS,Metal1,47.2950,15.3830,0.000363
_273_,VSS,Metal1,53.5050,45.0960,0.000009
_272_,VSS,Metal1,50.3460,60.8100,0.000019
_271_,VSS,Metal1,55.9060,60.1700,0.000020
_270_,VSS,Metal1,53.3000,53.2100,0.000007
_269_,VSS,Metal1,42.6660,60.8100,0.000017
_268_,VSS,Metal1,40.5460,60.7900,0.000009
_267_,VSS,Metal1,59.2650,60.7430,0.000020
_266_,VSS,Metal1,23.5550,60.6350,0.000001
_265_,VSS,Metal1,52.5460,60.7900,0.000020
_264_,VSS,Metal1,57.3460,60.7900,0.000020
_263_,VSS,Metal1,55.9330,67.7300,0.000000
_262_,VSS,Metal1,58.3060,60.1700,0.000020
_261_,VSS,Metal1,54.7710,60.6600,0.000020
_260_,VSS,Metal1,55.8160,52.6430,0.000007
_259_,VSS,Metal1,49.0130,53.2500,0.000007
_258_,VSS,Metal1,57.9430,38.0760,0.003924
_257_,VSS,Metal1,22.1330,60.1500,0.000001
_256_,VSS,Metal1,56.1060,29.9100,0.000939
_255_,VSS,Metal1,53.0250,38.0630,0.003924
_254_,VSS,Metal1,51.1350,53.1830,0.000007
_253_,VSS,Metal1,55.1650,45.5150,0.000009
_252_,VSS,Metal1,52.8520,52.7400,0.000007
_251_,VSS,Metal1,50.6260,52.6100,0.000007
_250_,VSS,Metal1,51.6850,60.2270,0.000020
_249_,VSS,Metal1,49.4750,60.3250,0.000019
_248_,VSS,Metal1,46.5670,60.3120,0.000018
_247_,VSS,Metal1,50.1460,45.6700,0.000009
_246_,VSS,Metal1,52.7470,45.5400,0.000009
_245_,VSS,Metal1,17.7950,53.0750,0.000000
_244_,VSS,Metal1,17.3150,60.3250,0.000001
_243_,VSS,Metal1,24.7330,60.1700,0.000001
_242_,VSS,Metal1,21.1720,60.6600,0.000001
_241_,VSS,Metal1,18.2470,60.7660,0.000001
_240_,VSS,Metal1,15.8050,60.6350,0.000001
_239_,VSS,Metal1,11.3830,60.2030,0.000001
_238_,VSS,Metal1,13.0400,53.2530,0.000000
_237_,VSS,Metal1,11.5730,52.5900,0.000000
_236_,VSS,Metal1,13.7830,52.6430,0.000000
_235_,VSS,Metal1,46.0450,30.3950,0.000661
_234_,VSS,Metal1,21.3750,45.0580,0.000000
_233_,VSS,Metal1,40.0100,45.6130,0.000008
_232_,VSS,Metal1,39.8930,52.5900,0.000006
_231_,VSS,Metal1,34.5950,53.0750,0.000006
_230_,VSS,Metal1,31.3490,53.1910,0.000005
_229_,VSS,Metal1,47.2950,45.0960,0.000009
_228_,VSS,Metal1,34.6120,60.3000,0.000006
_227_,VSS,Metal1,29.9150,60.7320,0.000004
_226_,VSS,Metal1,37.4750,45.2050,0.000007
_225_,VSS,Metal1,19.2350,37.9550,0.000043
_224_,VSS,Metal1,21.5470,52.7400,0.000000
_223_,VSS,Metal1,27.8750,45.2050,0.000002
_222_,VSS,Metal1,24.4260,45.0300,0.000000
_221_,VSS,Metal1,20.1250,45.5150,0.000000
_220_,VSS,Metal1,17.3150,45.5150,0.000000
_219_,VSS,Metal1,14.6260,45.0500,0.000000
_218_,VSS,Metal1,11.1210,44.6750,0.000000
_217_,VSS,Metal1,16.8350,45.2050,0.000000
_216_,VSS,Metal1,31.2000,38.0930,0.003085
_215_,VSS,Metal1,35.7460,38.1100,0.003232
_214_,VSS,Metal1,38.0750,37.5470,0.003241
_213_,VSS,Metal1,42.6850,45.6120,0.000008
