net,length_um
net59,132.285µm
net54,125.215µm
net70,113.655µm
net67,99.33µm
net64,98.505µm
net71,98.01µm
_109_,97.655µm
_114_,94.36µm
net57,94.095µm
_111_,91.75µm
net69,80.53µm
net73,78.045µm
_009_,77.865µm
net37,77.76µm
net60,73.045µm
net72,72.445µm
clk,72.235µm
_107_,71.97µm
net35,71.68µm
net51,71.235µm
net65,70.365µm
net74,68.635µm
net58,67.285µm
_022_,66.985µm
clknet_1_0__leaf_clk,64.335µm
net66,58.5µm
net4,58.17µm
_124_,54.515µm
sine_out[0],50µm
net62,49.41µm
sine_out[32],48.155µm
_045_,47.81µm
net53,45.83µm
net1,45.51µm
sine_out[31],45.48µm
net63,44.555µm
net2,43.905µm
_118_,41.685µm
net55,41.3µm
sine_out[1],41.24µm
DPATH.SUM.fa_5.A,40.59µm
sine_out[30],40.53µm
sine_out[5],40.29µm
net61,40.175µm
sine_out[4],39.75µm
_117_,39.4µm
net15,39.23µm
net52,39.09µm
sine_out[3],38µm
sine_out[29],37.78µm
sine_out[2],37.24µm
_065_,35.285µm
_122_,35.245µm
sine_out[28],35.01µm
clknet_1_1__leaf_clk,34.855µm
net11,34.75µm
_101_,34.005µm
_108_,33.19µm
net10,32.03µm
net56,31.045µm
_058_,30.84µm
_102_,29.89µm
_098_,28.295µm
clknet_0_clk,27.85µm
_024_,27.66µm
_068_,27.225µm
sine_out[27],27.14µm
sine_out[8],26.34µm
sine_out[6],26.24µm
sine_out[7],26.24µm
sine_out[9],26.24µm
_016_,26.06µm
sine_out[11],25.04µm
net68,24.97µm
sine_out[12],24.87µm
net31,24.48µm
sine_out[13],24.45µm
sine_out[26],24.32µm
net32,23.805µm
sine_out[10],22.4µm
sine_out[14],22.4µm
sine_out[15],22.4µm
sine_out[16],22.4µm
net9,22.33µm
_052_,22.205µm
net26,21.96µm
_051_,21.795µm
net16,21.79µm
_063_,21.74µm
_119_,21.74µm
net33,21.49µm
sine_out[20],21.2µm
net22,21µm
_110_,20.555µm
_026_,20.54µm
_055_,20.37µm
_025_,20.365µm
_033_,20.23µm
sine_out[21],20µm
sine_out[22],20µm
sine_out[23],20µm
sine_out[24],20µm
sine_out[25],20µm
net7,19.99µm
_076_,19.74µm
_027_,19.57µm
signB,19.38µm
net3,19.26µm
_106_,19.235µm
_078_,19.21µm
_034_,18.475µm
_116_,17.995µm
net13,17.925µm
_096_,17.63µm
sine_out[17],17.6µm
sine_out[18],17.6µm
sine_out[19],17.6µm
DPATH.SUM.fa_2.S,17.54µm
_036_,17.505µm
DPATH.SUM.ha_0.S,17.37µm
_047_,17.11µm
DPATH.SUM.fa_1.S,17.05µm
_100_,16.825µm
_035_,16.5µm
_075_,16.385µm
_041_,16.105µm
net27,15.37µm
net29,15.345µm
_029_,15.31µm
net17,15.3µm
_031_,15.055µm
_040_,14.005µm
net36,13.915µm
_019_,13.905µm
_062_,13.905µm
_014_,13.47µm
_037_,12.62µm
_059_,12.6µm
_032_,12.54µm
_081_,12.37µm
_028_,12.355µm
_099_,12.275µm
_010_,11.88µm
_067_,11.72µm
_103_,11.46µm
_049_,11.075µm
_089_,11.05µm
_043_,11.04µm
_000_,10.99µm
_094_,10.98µm
_091_,10.93µm
net28,10.915µm
DPATH.SUM.fa_4.S,10.82µm
_011_,10.81µm
_072_,10.81µm
_064_,10.51µm
_123_,10.45µm
_054_,10.44µm
net20,10.435µm
_057_,10.42µm
net21,10.34µm
_105_,10.03µm
_030_,9.97µm
_042_,9.84µm
_115_,9.74µm
net25,9.6µm
DPATH.SUM.fa_3.A,9.59µm
_121_,9.5µm
_113_,9.44µm
_053_,9.42µm
CTRL.P0,9.19µm
_112_,9.18µm
net41,9.12µm
_002_,9.07µm
_056_,9.07µm
net23,8.995µm
_046_,8.96µm
net34,8.9µm
_066_,8.63µm
_050_,8.435µm
_097_,8.42µm
_077_,8.22µm
_104_,8.22µm
DPATH.SUM.fa_2.A,8.16µm
_093_,8.05µm
DPATH.SUM.fa_3.S,7.87µm
_060_,7.8µm
net8,7.74µm
rst,7.69µm
net38,7.63µm
net42,7.26µm
net24,7.09µm
net19,6.98µm
_061_,6.97µm
sign,6.73µm
_021_,6.62µm
DPATH.SUM.fa_1.A,6.49µm
_007_,6.3µm
net12,6.25µm
_003_,6.19µm
_090_,6.19µm
DPATH.SUM.fa_5.S,6.115µm
_018_,6.08µm
_082_,6.01µm
_073_,5.65µm
_079_,5.54µm
_015_,5.385µm
_020_,5.34µm
_080_,5.34µm
net39,5.29µm
CTRL.P1,5.23µm
_004_,5.06µm
_017_,5.05µm
_023_,4.92µm
_008_,4.86µm
_092_,4.81µm
_038_,4.68µm
_044_,4.68µm
net30,4.675µm
_069_,4.57µm
_048_,4.5µm
DPATH.SUM.Cout0,4.44µm
_120_,4.44µm
DPATH.SUM.fa_4.A,4.38µm
_083_,4.33µm
_070_,4.27µm
_012_,4.1µm
net18,3.96µm
_001_,3.9µm
_013_,3.9µm
_087_,3.9µm
_005_,3.72µm
CTRL.S0,3.48µm
net5,3.48µm
_006_,3.42µm
_095_,3.365µm
_086_,3.235µm
_084_,3.14µm
_088_,3µm
net6,3µm
net40,3µm
_074_,2.94µm
_039_,2.755µm
_071_,2.65µm
DPATH.SUM.fa_6.A,1.86µm
_085_,1.8µm
DPATH.SUM.fa_6.S,1.38µm
net14,1.38µm
