net,length_um
net74,121.715µm
net66,110.56µm
net63,94.66µm
net57,94.62µm
net68,82.005µm
_022_,80.39µm
net58,79.67µm
net61,76.55µm
net65,73.59µm
_107_,72.36µm
net69,69.995µm
net59,69.46µm
net52,68.3µm
net56,66.78µm
net72,66.305µm
net70,64.06µm
net60,61.7µm
net51,57.99µm
net73,56.16µm
net62,54.88µm
net71,53.28µm
net64,49.62µm
_099_,49.335µm
clknet_1_0__leaf_clk,48.605µm
sine_out[3],48.03µm
_111_,47.095µm
net2,46.795µm
_045_,46.18µm
_102_,45.895µm
_118_,43.86µm
DPATH.SUM.ha_0.S,43.635µm
net53,42.005µm
clk,38.72µm
_114_,38.17µm
_065_,37.965µm
net54,37.83µm
clknet_0_clk,37.09µm
_100_,36.945µm
net55,36.55µm
_101_,34.105µm
net26,33.92µm
_009_,33.415µm
_052_,33.02µm
_016_,31.825µm
signB,31.085µm
sine_out[27],30.45µm
_037_,30.3µm
_122_,29.865µm
net13,29.84µm
_117_,29.355µm
_042_,28.94µm
_059_,27.945µm
sine_out[10],27.765µm
net23,27.42µm
net12,27.08µm
clknet_1_1__leaf_clk,26.77µm
net30,26.7µm
_040_,25.8µm
sine_out[21],25.62µm
DPATH.SUM.fa_4.A,25.2µm
_078_,24.73µm
_119_,24.72µm
sine_out[16],24.42µm
net11,24.045µm
net20,23.87µm
sine_out[20],23.82µm
sine_out[29],23.82µm
_019_,23.815µm
net14,23.29µm
sine_out[15],23.145µm
sine_out[11],22.98µm
_035_,22.86µm
sine_out[30],22.86µm
DPATH.SUM.fa_5.S,22.75µm
sine_out[4],22.69µm
sign,22.64µm
_124_,22.38µm
sine_out[9],22.35µm
_097_,22.34µm
sine_out[14],22.09µm
net29,22.04µm
net10,22.005µm
sine_out[32],21.9µm
_106_,21.735µm
sine_out[25],21.72µm
sine_out[17],21.6µm
_011_,21.49µm
net9,21.12µm
_051_,21.065µm
net67,20.94µm
sine_out[8],20.94µm
_110_,20.535µm
sine_out[31],20.46µm
net15,20.22µm
_038_,19.93µm
rst,19.82µm
_112_,19.81µm
_104_,19.63µm
sine_out[22],19.62µm
_058_,19.58µm
net7,19.45µm
_050_,19.2µm
DPATH.SUM.fa_3.A,19.03µm
net19,18.72µm
_116_,18.71µm
_093_,18.135µm
sine_out[7],18.12µm
sine_out[28],18.06µm
DPATH.SUM.fa_2.A,18.055µm
_043_,17.84µm
net18,17.76µm
net44,17.53µm
net5,16.8µm
net3,16.74µm
net27,16.74µm
_020_,16.63µm
_108_,16.22µm
sine_out[26],16.14µm
net4,15.79µm
net37,15.79µm
net35,15.37µm
net25,15.3µm
_021_,15.055µm
_109_,14.52µm
net21,14.41µm
_017_,14.35µm
_062_,14.34µm
_026_,14.31µm
net1,14.05µm
_018_,13.94µm
sine_out[2],13.92µm
_012_,13.75µm
_041_,13.69µm
_077_,13.545µm
_025_,12.965µm
_088_,12.96µm
net17,12.96µm
net22,12.96µm
_032_,12.9µm
net31,12.9µm
_029_,12.85µm
_113_,12.8µm
_044_,12.37µm
_064_,12.345µm
net28,12.3µm
_047_,12.145µm
net40,12.145µm
_098_,11.66µm
sine_out[6],11.64µm
_082_,11.28µm
DPATH.SUM.fa_4.S,11.23µm
_008_,10.99µm
_068_,10.85µm
_046_,10.82µm
_070_,10.56µm
sine_out[0],10.45µm
net8,10.435µm
DPATH.SUM.fa_5.A,10.38µm
sine_out[24],10.14µm
_033_,10.09µm
_094_,10.08µm
_115_,9.785µm
_001_,9.66µm
_073_,9.645µm
_034_,9.6µm
_000_,9.55µm
sine_out[5],9.54µm
net42,9.31µm
net33,9µm
net34,9µm
_014_,8.905µm
_036_,8.885µm
net32,8.7µm
sine_out[12],8.65µm
_039_,8.64µm
DPATH.SUM.Cout0,8.59µm
sine_out[13],8.46µm
_057_,8.3µm
_056_,8.16µm
sine_out[19],8.11µm
_049_,7.94µm
_105_,7.74µm
_096_,7.63µm
_024_,7.46µm
_083_,7.45µm
_028_,7.445µm
DPATH.SUM.fa_2.S,7.4µm
_031_,7.39µm
_075_,7.355µm
sine_out[1],7.27µm
net39,7.26µm
net24,7.075µm
_054_,6.98µm
net6,6.97µm
sine_out[23],6.8µm
_085_,6.73µm
net36,6.73µm
CTRL.P0,6.5µm
_092_,6.48µm
sine_out[18],6.405µm
_089_,6.39µm
net38,6.3µm
_055_,6.25µm
_121_,6.24µm
_076_,6.08µm
net41,6.02µm
net45,5.82µm
_015_,5.71µm
_095_,5.71µm
CTRL.P1,5.48µm
_080_,5.29µm
net16,5.29µm
DPATH.SUM.fa_6.S,5.22µm
_048_,5.1µm
_103_,5.06µm
_007_,4.92µm
_079_,4.92µm
_086_,4.92µm
net48,4.92µm
_006_,4.86µm
_060_,4.68µm
_081_,4.68µm
_013_,4.58µm
_084_,4.1µm
_061_,3.94µm
_002_,3.72µm
_005_,3.72µm
_004_,3.62µm
_087_,3.61µm
DPATH.SUM.fa_1.A,3.48µm
_072_,3.48µm
_091_,3.48µm
_074_,3.42µm
_090_,3.42µm
_063_,3.24µm
_120_,3.235µm
DPATH.SUM.fa_1.S,3.06µm
CTRL.S0,3µm
_003_,3µm
_069_,2.94µm
_067_,2.82µm
_030_,2.76µm
_071_,2.52µm
_123_,2.52µm
DPATH.SUM.fa_3.S,2.4µm
_023_,2.28µm
_053_,2.28µm
_066_,2.18µm
DPATH.SUM.fa_6.A,1.86µm
_010_,1.8µm
net46,1.44µm
net47,1.44µm
_027_,1.38µm
net43,0.96µm
