net,length_um
net55,137.215µm
net59,126.495µm
DPATH.SUM.ha_0.S,123.575µm
net37,116.925µm
_101_,115.25µm
net70,108.26µm
net68,107.12µm
net63,106.285µm
_009_,104.63µm
net76,97.21µm
_109_,94.86µm
net75,94.33µm
_115_,93.52µm
net71,92.615µm
net35,90.34µm
_118_,83.53µm
_107_,83.01µm
net67,81.165µm
_102_,81.03µm
_111_,78.375µm
_045_,76.1µm
net53,75.25µm
net72,72.61µm
net9,72.16µm
net56,70.075µm
net66,69.155µm
net74,68.95µm
net65,67.545µm
net2,67.325µm
net57,66.89µm
net69,66.86µm
net58,66.305µm
net54,65.74µm
net64,65.095µm
clk,65µm
net10,64.63µm
_002_,63.6µm
_124_,62.45µm
net52,61.605µm
_119_,60.755µm
DPATH.SUM.fa_6.A,60.585µm
clknet_1_1__leaf_clk,59.29µm
_106_,55.775µm
_018_,55.21µm
_022_,54.58µm
_020_,53.58µm
net61,53.06µm
net1,50.4µm
_076_,49.47µm
_117_,48.86µm
net62,48.755µm
net31,48.27µm
_100_,47.54µm
_104_,47.26µm
sine_out[32],47.18µm
_108_,46.44µm
net7,45.91µm
clknet_1_0__leaf_clk,45.75µm
_099_,45.475µm
_065_,45.145µm
net26,45.07µm
net60,44.78µm
_098_,44.635µm
_075_,43.62µm
_004_,42.38µm
net34,41.06µm
sine_out[0],40.69µm
sine_out[31],39.98µm
_114_,39.84µm
_049_,39.565µm
net24,39.42µm
_016_,37.615µm
sine_out[1],37.1µm
net30,36.74µm
net32,36.68µm
_077_,36.56µm
sine_out[30],36.03µm
_011_,35.995µm
_112_,35.83µm
_042_,35.505µm
sine_out[25],35.29µm
_122_,34.845µm
sine_out[26],33.85µm
sine_out[29],33.85µm
sine_out[27],33.49µm
sine_out[28],33.37µm
_051_,33.205µm
sine_out[2],32.89µm
_086_,32.84µm
_044_,32.79µm
_085_,31.41µm
_053_,31.38µm
_008_,30.79µm
net20,30.66µm
sine_out[3],30.13µm
_013_,29.61µm
CTRL.P0,29.58µm
_058_,28.83µm
clknet_0_clk,28.69µm
sine_out[24],28.22µm
_017_,27.73µm
_034_,27.5µm
sine_out[23],27.37µm
_103_,26.89µm
sine_out[22],26.89µm
_005_,26.66µm
_040_,26.59µm
_007_,26.215µm
net73,26.18µm
sine_out[21],25.93µm
DPATH.SUM.fa_1.A,25.92µm
_066_,25.74µm
sine_out[10],25.33µm
net28,25.32µm
_000_,24.62µm
_026_,24.48µm
net15,24.36µm
_033_,24.24µm
sine_out[4],24.01µm
_070_,23.9µm
net11,23.76µm
net19,23.52µm
sine_out[12],23.05µm
sine_out[5],23.05µm
sine_out[6],23.05µm
sine_out[11],22.57µm
_110_,22.22µm
_014_,22.185µm
sine_out[7],22.09µm
sine_out[8],22.09µm
_030_,21.91µm
DPATH.SUM.fa_3.A,21.79µm
sine_out[13],21.61µm
sine_out[20],21.61µm
net21,21.55µm
_019_,21.325µm
sine_out[14],21.13µm
sine_out[15],21.13µm
sine_out[19],21.13µm
sine_out[9],21.13µm
_057_,20.89µm
_024_,20.83µm
net3,20.76µm
sine_out[16],20.65µm
sine_out[18],20.65µm
_052_,20.59µm
net4,20.4µm
sine_out[17],20.17µm
signB,19.92µm
_113_,19.8µm
_078_,19.77µm
_050_,19.235µm
_096_,18.92µm
_068_,18.85µm
net14,17.64µm
_116_,17.63µm
_061_,16.805µm
_003_,16.75µm
_037_,16.6µm
_029_,16.555µm
_047_,16.2µm
_035_,16.15µm
_027_,15.67µm
_006_,15.31µm
_046_,15.19µm
net5,15.13µm
_031_,15.025µm
_073_,14.88µm
_063_,14.65µm
net13,14.59µm
DPATH.SUM.fa_5.A,14.29µm
_032_,14.28µm
_012_,14.12µm
_028_,13.895µm
net12,13.86µm
_025_,13.785µm
DPATH.SUM.fa_5.S,13.14µm
net27,12.96µm
_094_,12.91µm
_043_,12.84µm
net33,12.37µm
_088_,12.06µm
_097_,11.875µm
net8,11.565µm
DPATH.SUM.fa_2.S,11.52µm
net36,11.52µm
net22,11.47µm
_036_,11.04µm
rst,10.57µm
_067_,10.46µm
_089_,10.45µm
_082_,10.32µm
net23,9.72µm
_021_,9.67µm
net6,9.49µm
_060_,9.48µm
sign,9.36µm
_071_,8.7µm
_079_,8.685µm
_039_,8.58µm
_121_,8.3µm
DPATH.SUM.fa_2.A,8.11µm
DPATH.SUM.fa_4.S,8.05µm
_059_,7.985µm
_041_,7.7µm
_105_,7.51µm
net17,7.2µm
net16,7.15µm
_038_,6.72µm
_081_,6.12µm
_091_,6.12µm
net29,6.12µm
_095_,6.01µm
_001_,5.77µm
_055_,5.425µm
_093_,5.34µm
net25,5.34µm
_087_,4.865µm
net18,4.57µm
_069_,4.44µm
DPATH.SUM.Cout0,4.425µm
CTRL.S0,4.38µm
_064_,4.38µm
_083_,4.38µm
_015_,4.1µm
_056_,3.96µm
_120_,3.9µm
_080_,3.715µm
_048_,3.56µm
CTRL.P1,3.42µm
DPATH.SUM.fa_4.A,3.42µm
_023_,3.42µm
net39,3.42µm
net38,3.24µm
DPATH.SUM.fa_6.S,3µm
_090_,2.94µm
_074_,2.725µm
_062_,2.65µm
_092_,2.52µm
DPATH.SUM.fa_1.S,2.1µm
DPATH.SUM.fa_3.S,1.92µm
_010_,1.8µm
_123_,1.8µm
_054_,1.7µm
_072_,1.7µm
_084_,0.96µm
