net,length_um
net37,111.19µm
net59,110.46µm
_111_,91.59µm
DPATH.SUM.ha_0.S,90.84µm
net66,89.33µm
net77,86.78µm
net75,84.835µm
net61,82.365µm
net76,79.92µm
net68,76.75µm
net54,71.405µm
net69,71.23µm
net73,69.705µm
net56,66.6µm
_009_,65.845µm
net63,65.12µm
clk,62.96µm
net71,61.19µm
net58,60.915µm
_117_,55.87µm
net64,54.59µm
clknet_1_0__leaf_clk,53.99µm
_115_,53.915µm
_101_,51.42µm
_107_,50.925µm
_106_,50.265µm
net72,49.635µm
net70,49.435µm
net53,48.855µm
net35,48.47µm
net3,48.37µm
_124_,46.44µm
net67,45.56µm
net10,45.46µm
net62,44.88µm
net57,44.7µm
net33,43.63µm
net26,42.98µm
net60,39.87µm
_041_,39.59µm
_102_,39.245µm
sine_out[32],37.88µm
_110_,35.705µm
_118_,35.44µm
_058_,34.88µm
net55,34.57µm
sine_out[31],34.52µm
clknet_1_1__leaf_clk,34.095µm
_099_,34.02µm
net4,34.01µm
sine_out[30],33.56µm
_065_,32.47µm
sine_out[0],32.12µm
_045_,31.79µm
DPATH.SUM.fa_4.A,31.74µm
net1,30.54µm
_018_,30.51µm
net14,29.89µm
sine_out[29],29.84µm
clknet_0_clk,29.12µm
sine_out[28],28.88µm
net31,28.86µm
net11,28.82µm
_019_,28.665µm
net32,28.425µm
sine_out[7],28.4µm
_096_,28.38µm
_109_,28.315µm
net65,28.195µm
_112_,28.1µm
net27,27.79µm
sine_out[1],27.44µm
_122_,27.37µm
_052_,27.065µm
_078_,26.96µm
sine_out[3],26.96µm
_100_,26.35µm
net9,26.1µm
_057_,25.845µm
sine_out[27],25.74µm
_098_,25.265µm
sine_out[26],25.16µm
net19,24.98µm
_040_,24.86µm
_042_,24.75µm
_119_,24.235µm
sine_out[4],23.72µm
sine_out[5],23.24µm
sine_out[2],23.12µm
sine_out[8],23.12µm
net29,22.915µm
sine_out[6],22.76µm
_034_,22.45µm
_014_,22.315µm
sine_out[25],22.28µm
_113_,22.21µm
_032_,22.02µm
sine_out[24],21.8µm
sine_out[9],21.8µm
_050_,21.72µm
_021_,21.355µm
sine_out[23],21.32µm
net28,21.07µm
sine_out[10],20.84µm
sine_out[11],20.84µm
_086_,20.83µm
DPATH.SUM.fa_2.S,20.71µm
net20,20.46µm
_108_,20.4µm
sine_out[22],20.36µm
net34,20.13µm
sine_out[12],19.88µm
sine_out[13],19.88µm
sine_out[21],19.88µm
net22,19.56µm
sine_out[20],19.4µm
net74,19.28µm
net12,19.2µm
sine_out[14],18.92µm
sine_out[19],18.92µm
_026_,18.73µm
_055_,18.66µm
DPATH.SUM.fa_5.A,18.55µm
_051_,18.485µm
sine_out[15],18.44µm
sine_out[16],18.44µm
sine_out[18],18.44µm
_076_,18.42µm
_088_,18.37µm
_059_,17.96µm
sine_out[17],17.96µm
_016_,17.91µm
net21,17.58µm
net2,17.49µm
_085_,17.28µm
_005_,17.23µm
net30,17.16µm
_022_,17.07µm
_035_,16.785µm
_024_,16.63µm
_116_,16.385µm
net38,16.26µm
_027_,16.15µm
_103_,15.31µm
net23,15.285µm
_008_,15.19µm
_120_,15.19µm
_114_,15.12µm
_104_,15.07µm
net44,14.83µm
_030_,14.82µm
_025_,14.65µm
_047_,14.58µm
net16,14.505µm
_063_,14.465µm
_066_,14.34µm
_121_,14.31µm
DPATH.SUM.fa_6.A,14.18µm
_087_,14.05µm
_037_,13.93µm
_077_,13.53µm
_028_,13.26µm
net15,13.2µm
_068_,13.075µm
_020_,13.02µm
_092_,12.9µm
net17,12.68µm
_038_,12.48µm
_095_,12.06µm
_075_,11.71µm
_053_,11.46µm
net24,11.46µm
_083_,11.28µm
_091_,11.18µm
net13,10.99µm
net7,10.915µm
_043_,10.56µm
_015_,10.51µm
_073_,10.09µm
_084_,10.09µm
_004_,10.08µm
CTRL.S0,9.97µm
net25,9.97µm
_011_,9.59µm
_033_,9.5µm
_093_,9.37µm
signB,9.36µm
_003_,9.18µm
DPATH.SUM.fa_3.S,8.83µm
_070_,8.8µm
_029_,8.41µm
_082_,8.29µm
DPATH.SUM.fa_1.A,8.16µm
_056_,8.16µm
_097_,8.05µm
CTRL.P1,7.99µm
CTRL.P0,7.94µm
_054_,7.8µm
_013_,7.785µm
rst,7.69µm
sign,7.68µm
_036_,7.675µm
net36,7.63µm
_079_,7.56µm
_080_,7.5µm
net18,7.305µm
_074_,7.26µm
net42,7.26µm
net41,6.78µm
_060_,6.73µm
net40,6.72µm
_067_,6.25µm
net5,6.06µm
_123_,6.01µm
_061_,5.89µm
DPATH.SUM.fa_1.S,5.83µm
_062_,5.71µm
net8,5.71µm
_031_,5.695µm
net43,5.54µm
_071_,5.28µm
net6,5.23µm
DPATH.SUM.fa_2.A,4.86µm
_001_,4.86µm
_048_,4.62µm
_072_,4.44µm
_012_,4.38µm
_007_,4.1µm
_049_,3.94µm
_002_,3.62µm
DPATH.SUM.fa_5.S,3.54µm
_081_,3.5µm
_006_,3.04µm
DPATH.SUM.Cout0,3µm
_023_,3µm
_039_,3µm
DPATH.SUM.fa_3.A,2.94µm
_000_,2.94µm
_046_,2.94µm
_090_,2.755µm
DPATH.SUM.fa_4.S,2.58µm
DPATH.SUM.fa_6.S,2.58µm
_010_,2.28µm
_069_,2.28µm
_105_,2.28µm
net39,2.1µm
_017_,1.8µm
_089_,1.8µm
_094_,1.8µm
_064_,1.38µm
_044_,0.96µm
