net,length_um
net59,114.88µm
DPATH.SUM.ha_0.S,106.91µm
net61,92.665µm
net75,92.355µm
net78,91.645µm
_111_,82.395µm
net55,81.14µm
net65,81.09µm
net68,74.9µm
_107_,74.865µm
net69,74.33µm
net73,73.745µm
_022_,71.59µm
net77,69.315µm
net54,68.83µm
net57,68.715µm
sine_out[32],66.8µm
net28,66.54µm
net60,64.86µm
net76,64.795µm
net62,64.25µm
sine_out[31],63.92µm
clk,62µm
net58,61.33µm
net72,61.195µm
net29,61.04µm
_009_,59.05µm
net63,59.045µm
net26,57.335µm
sine_out[0],55.88µm
net56,55.76µm
net3,55.21µm
net1,54.91µm
net35,54.66µm
_118_,54.21µm
sine_out[1],53.91µm
sine_out[30],52.66µm
net27,51.72µm
sine_out[29],51.425µm
sine_out[28],51.195µm
sine_out[27],51.15µm
_102_,50.43µm
net70,49.13µm
clknet_1_0__leaf_clk,47.84µm
net64,47.115µm
_117_,46.94µm
net71,45.77µm
_029_,45.67µm
sine_out[26],45.03µm
net67,44.98µm
sine_out[24],43.11µm
sine_out[2],42.2µm
_124_,41.16µm
_122_,41.075µm
sine_out[25],40.4µm
net2,39.485µm
_058_,39.43µm
sine_out[5],39.09µm
net15,39.07µm
sine_out[4],37.89µm
net21,37.845µm
net30,37.47µm
_099_,37.395µm
_014_,37.35µm
clknet_1_1__leaf_clk,37.34µm
_065_,36.785µm
net66,36.68µm
sine_out[3],36.56µm
sine_out[7],36.125µm
_041_,34.82µm
_026_,33.48µm
_045_,33.095µm
DPATH.SUM.fa_5.A,32.655µm
_037_,31.995µm
_096_,31.51µm
clknet_0_clk,31.02µm
_101_,29.33µm
net23,28.99µm
net4,28.86µm
_018_,27.91µm
_024_,27.3µm
signB,26.94µm
sine_out[6],26.72µm
net74,26.37µm
DPATH.SUM.fa_6.A,26µm
_110_,25.675µm
_077_,25.655µm
_031_,25.57µm
sine_out[23],25.52µm
net31,25.2µm
sine_out[8],25.16µm
_051_,24.105µm
net22,23.76µm
_042_,23.42µm
sine_out[21],22.88µm
sine_out[22],22.88µm
_030_,22.75µm
_050_,22.26µm
_034_,22.105µm
net13,21.72µm
_108_,21.265µm
_025_,20.82µm
net19,20.325µm
_119_,20.3µm
net8,19.93µm
_064_,19.66µm
sine_out[10],19.52µm
sine_out[11],19.52µm
sine_out[12],19.52µm
sine_out[9],19.52µm
_019_,19.31µm
_028_,18.775µm
_106_,18.27µm
net7,17.82µm
_109_,17.665µm
sine_out[13],17.6µm
sine_out[14],17.6µm
sine_out[15],17.6µm
sine_out[16],17.6µm
sine_out[17],17.6µm
sine_out[18],17.6µm
sine_out[19],17.6µm
sine_out[20],17.6µm
_089_,17.28µm
net9,17.085µm
_035_,16.98µm
_047_,16.65µm
DPATH.SUM.fa_2.A,16.455µm
_105_,16.38µm
net25,16.26µm
_076_,15.98µm
_115_,15.54µm
_040_,15.49µm
_094_,14.84µm
net14,14.76µm
_020_,14.71µm
net10,14.65µm
_044_,14.23µm
_016_,14.135µm
_078_,14.045µm
net34,14.04µm
_008_,13.92µm
_063_,13.87µm
_100_,13.87µm
_098_,13.785µm
_057_,13.69µm
DPATH.SUM.fa_4.A,13.33µm
_004_,13.33µm
_097_,13.32µm
_116_,13.285µm
_066_,12.9µm
net32,12.84µm
_113_,12.66µm
_114_,12.61µm
DPATH.SUM.fa_1.S,12.49µm
net17,12.49µm
net42,12.49µm
DPATH.SUM.fa_3.S,12.37µm
_103_,12.355µm
_011_,12.25µm
net18,12.01µm
net37,12.01µm
net39,11.9µm
_120_,11.83µm
_082_,11.77µm
_087_,11.76µm
CTRL.S0,11.47µm
_068_,11.11µm
net12,10.99µm
_056_,10.93µm
_052_,10.92µm
_071_,10.56µm
_005_,10.51µm
_043_,10.45µm
net36,10.03µm
_027_,9.97µm
_049_,9.42µm
_036_,9µm
_095_,8.35µm
_006_,8.22µm
_007_,8.17µm
_033_,8.095µm
net6,8.035µm
_085_,7.98µm
_112_,7.93µm
_070_,7.74µm
net43,7.74µm
_002_,7.69µm
rst,7.69µm
net24,7.46µm
_021_,7.45µm
DPATH.SUM.fa_3.A,7.26µm
_067_,7.2µm
net46,7.2µm
_015_,7.195µm
_083_,7.08µm
CTRL.P0,6.98µm
DPATH.SUM.fa_5.S,6.91µm
DPATH.SUM.fa_1.A,6.84µm
_032_,6.78µm
sign,6.73µm
DPATH.SUM.fa_2.S,6.54µm
_093_,6.54µm
_121_,6.49µm
_088_,6.36µm
net20,6.36µm
_010_,6.25µm
_046_,6.12µm
_075_,6.06µm
_000_,5.82µm
_092_,5.77µm
_061_,5.65µm
_054_,5.64µm
_072_,5.64µm
_074_,5.58µm
_073_,5.28µm
_081_,5.28µm
_059_,5.22µm
net45,5.16µm
_039_,5.155µm
_084_,5.105µm
_060_,5.06µm
net33,5.06µm
net40,4.81µm
_038_,4.58µm
DPATH.SUM.Cout0,4.32µm
_091_,4.2µm
net47,4.14µm
_053_,3.96µm
_104_,3.96µm
net49,3.96µm
CTRL.P1,3.85µm
net5,3.85µm
_012_,3.72µm
_001_,3.715µm
net38,3.54µm
_069_,3.48µm
net16,3.48µm
_090_,3.43µm
_055_,3.42µm
_086_,3.13µm
_062_,3.07µm
DPATH.SUM.fa_6.S,3µm
_048_,3µm
_013_,2.94µm
net41,2.66µm
DPATH.SUM.fa_4.S,2.58µm
_003_,2.52µm
_023_,2.52µm
_079_,2.52µm
_123_,2.52µm
net11,2.52µm
_080_,2.28µm
_017_,2.22µm
net44,0.96µm
net48,0.96µm
