net,length_um
net58,127.85µm
net65,105.07µm
net66,104.04µm
net37,95.915µm
net61,93.45µm
net72,90.855µm
net71,90.365µm
net76,90.23µm
net59,87.83µm
_111_,81.635µm
net75,80.425µm
net69,75.92µm
clk,72.315µm
net68,69.14µm
net73,68.635µm
net35,63.82µm
net62,63.61µm
net63,62.265µm
net57,62.065µm
_022_,61.41µm
_101_,60.7µm
clknet_1_0__leaf_clk,60.415µm
net53,60.28µm
net60,55.56µm
net67,54.095µm
_009_,51.6µm
DPATH.SUM.ha_0.S,50.96µm
net54,50.135µm
_015_,49.79µm
net56,48.255µm
net77,48.1µm
net64,48.01µm
net14,47.95µm
net4,47.31µm
_118_,46.11µm
_045_,46.105µm
net10,45.65µm
_109_,45.445µm
_099_,44.725µm
net70,44.56µm
sine_out[32],43.325µm
net55,42.995µm
sine_out[31],42.975µm
net26,40.945µm
_114_,40.025µm
sine_out[30],39.725µm
clknet_1_1__leaf_clk,38.77µm
net74,38.48µm
_119_,37.86µm
_014_,37.56µm
sine_out[29],37.335µm
clknet_0_clk,36.465µm
_065_,36.155µm
net36,35.88µm
_117_,35.665µm
_110_,35.445µm
sine_out[28],34.665µm
net9,33.67µm
net20,33.43µm
_102_,33.37µm
sine_out[27],32.165µm
_096_,31.9µm
_058_,31.86µm
net21,31.74µm
net24,31.5µm
_068_,30.9µm
DPATH.SUM.fa_4.A,30.72µm
_077_,30.54µm
net3,30.42µm
sine_out[0],29.885µm
net27,29.11µm
_122_,28.25µm
_029_,27.91µm
_078_,27.85µm
sine_out[1],27.845µm
_121_,27.675µm
sine_out[26],27.485µm
sine_out[25],27.005µm
sine_out[24],26.525µm
_108_,26.395µm
net22,25.75µm
_037_,25.605µm
sine_out[11],24.605µm
net30,24.44µm
_107_,24.26µm
sine_out[6],24.125µm
sine_out[2],23.645µm
_049_,23.42µm
net12,23.28µm
sine_out[23],22.685µm
_041_,22.65µm
_035_,22.44µm
_075_,22.22µm
_052_,22.2µm
net19,22.065µm
net2,21.9µm
sine_out[22],21.725µm
sine_out[12],21.615µm
sine_out[21],21.245µm
sine_out[7],21.245µm
sine_out[8],21.245µm
_054_,21.24µm
_019_,21.025µm
net7,20.89µm
sine_out[13],20.765µm
sine_out[19],20.765µm
sine_out[20],20.765µm
sine_out[3],20.765µm
sine_out[4],20.765µm
sine_out[9],20.765µm
net13,20.53µm
sine_out[14],20.285µm
sine_out[5],20.285µm
net1,19.825µm
sine_out[10],19.805µm
sine_out[15],19.805µm
sine_out[18],19.805µm
_106_,19.71µm
_006_,19.56µm
net28,19.56µm
sine_out[16],19.325µm
sine_out[17],19.325µm
net8,19.26µm
_031_,19.14µm
_005_,18.91µm
net31,18.72µm
net17,18.43µm
DPATH.SUM.fa_5.A,18.01µm
_051_,17.94µm
_011_,17.905µm
_042_,17.675µm
_059_,17.53µm
net18,17.47µm
_066_,17.11µm
_076_,16.835µm
_030_,16.74µm
_124_,16.075µm
_032_,15.36µm
_033_,15.01µm
_044_,14.89µm
net15,14.77µm
DPATH.SUM.Cout0,14.66µm
net11,14.41µm
_085_,13.82µm
_053_,13.5µm
net32,13.44µm
CTRL.P1,13.33µm
_091_,13.2µm
_088_,12.96µm
DPATH.SUM.fa_6.A,12.91µm
_070_,12.85µm
_116_,12.84µm
_018_,12.8µm
net34,12.79µm
_040_,12.61µm
_012_,12.43µm
_087_,12.235µm
_060_,12.205µm
_086_,12.06µm
_067_,12.01µm
_000_,12µm
net23,11.89µm
_020_,11.71µm
_098_,11.56µm
_026_,11.53µm
_057_,11.4µm
net6,11.395µm
_079_,11.335µm
_038_,11.29µm
_047_,11.22µm
net16,11.04µm
_092_,10.99µm
DPATH.SUM.fa_3.S,10.93µm
_025_,10.69µm
_095_,10.51µm
_082_,10.32µm
_081_,10.08µm
_050_,9.85µm
_104_,9.66µm
_007_,9.61µm
_061_,9.535µm
_084_,9.48µm
net25,9.18µm
_028_,9.13µm
_036_,9.01µm
DPATH.SUM.fa_6.S,8.58µm
_013_,8.58µm
sign,8.52µm
_074_,8.42µm
_034_,8.29µm
_043_,8.16µm
_002_,8.11µm
_021_,8.02µm
_062_,7.99µm
CTRL.P0,7.69µm
rst,7.685µm
_089_,7.68µm
_115_,7.62µm
_016_,7.51µm
net39,7.26µm
signB,7.21µm
_090_,7.15µm
_120_,6.73µm
_094_,6.19µm
_080_,5.82µm
_123_,5.82µm
_073_,5.77µm
_100_,5.66µm
_112_,5.62µm
_024_,5.485µm
net5,5.445µm
DPATH.SUM.fa_3.A,5.34µm
_004_,5.23µm
_001_,4.86µm
DPATH.SUM.fa_2.A,4.8µm
_039_,4.74µm
_055_,4.58µm
DPATH.SUM.fa_2.S,4.44µm
_017_,4.44µm
_063_,4.44µm
DPATH.SUM.fa_1.A,4.38µm
_093_,4.38µm
DPATH.SUM.fa_5.S,4.02µm
CTRL.S0,3.96µm
net38,3.96µm
_113_,3.94µm
_103_,3.9µm
_023_,3.78µm
_003_,3.62µm
_071_,3.61µm
_097_,3.61µm
_008_,3.48µm
_083_,3.48µm
_069_,3.13µm
_010_,3µm
_048_,2.755µm
_056_,2.7µm
_072_,2.52µm
_046_,2.28µm
_064_,2.17µm
_105_,2.17µm
DPATH.SUM.fa_1.S,2.1µm
DPATH.SUM.fa_4.S,1.86µm
net33,1.8µm
net29,1.44µm
_027_,1.38µm
