Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_116,VSS,Metal1,61.6800,68.0400,0.000000
FILLER_13_114,VSS,Metal1,60.9600,68.0400,0.000000
FILLER_13_83,VSS,Metal1,45.8400,68.0400,0.000000
FILLER_13_81,VSS,Metal1,45.1200,68.0400,0.000000
FILLER_13_0,VSS,Metal1,6.0000,68.0400,0.000000
FILLER_12_83,VSS,Metal1,45.8400,60.4800,0.000008
FILLER_12_76,VSS,Metal1,42.7200,60.4800,0.000007
FILLER_12_65,VSS,Metal1,37.2000,60.4800,0.000007
FILLER_12_63,VSS,Metal1,36.4800,60.4800,0.000007
FILLER_12_33,VSS,Metal1,21.8400,60.4800,0.000006
FILLER_12_26,VSS,Metal1,18.4800,60.4800,0.000006
FILLER_12_14,VSS,Metal1,12.9600,60.4800,0.000006
FILLER_11_91,VSS,Metal1,49.6800,60.4800,0.000008
FILLER_11_71,VSS,Metal1,40.3200,60.4800,0.000007
FILLER_11_62,VSS,Metal1,35.7600,60.4800,0.000007
FILLER_11_53,VSS,Metal1,31.4400,60.4800,0.000007
FILLER_11_51,VSS,Metal1,30.7200,60.4800,0.000007
FILLER_11_23,VSS,Metal1,17.0400,60.4800,0.000006
FILLER_10_105,VSS,Metal1,56.6400,52.9200,0.000002
FILLER_10_88,VSS,Metal1,48.4800,52.9200,0.000002
FILLER_10_68,VSS,Metal1,38.6400,52.9200,0.000002
FILLER_10_66,VSS,Metal1,37.9200,52.9200,0.000002
FILLER_9_106,VSS,Metal1,56.8800,52.9200,0.000002
FILLER_9_88,VSS,Metal1,48.2400,52.9200,0.000002
FILLER_9_64,VSS,Metal1,36.7200,52.9200,0.000002
FILLER_9_62,VSS,Metal1,36.0000,52.9200,0.000002
FILLER_9_24,VSS,Metal1,17.5200,52.9200,0.000003
FILLER_9_5,VSS,Metal1,8.6400,52.9200,0.000003
FILLER_8_115,VSS,Metal1,61.4400,45.3600,0.000003
FILLER_8_101,VSS,Metal1,54.4800,45.3600,0.000003
FILLER_8_78,VSS,Metal1,43.4400,45.3600,0.000003
FILLER_8_67,VSS,Metal1,38.4000,45.3600,0.000003
FILLER_8_52,VSS,Metal1,31.2000,45.3600,0.000002
FILLER_8_28,VSS,Metal1,19.4400,45.3600,0.000001
FILLER_8_18,VSS,Metal1,14.8800,45.3600,0.000001
